사업장명,시도명,시군구명,사업장업종명,세차유형,소재지도로명주소,휴무일,평일운영시작시각,평일운영종료시각,휴일운영시작시각,휴일운영종료시각,세차요금정보,대표자명,세차장전화번호,수질허가번호,위도,경도,데이터기준일자,제공기관코드,제공기관명
ABC 셀프세차장,전라북도,군산시,자동차세차업,셀프세차,전라북도 군산시 공단대로 469 (나운동),연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,김태환,,4670000-22-2015-00011,35.963517,126.6904396,2019-09-06,4670000,전라북도 군산시
파이렉스 팩토리 세차장,전라북도,군산시,자동차세차업,셀프세차,전라북도 군산시 대학로 410 (나운동),연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,문병수,063-466-7269,4670000-22-2015-00006,35.958185,126.689538,2019-09-06,4670000,전라북도 군산시
내가하는세차마을,전라북도,군산시,자동차세차업,셀프세차,전라북도 군산시 하나운3길 25 (나운동),연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,이상규,,4670000-22-2015-00003,35.963429,126.695825,2019-09-06,4670000,전라북도 군산시
워터파크,전라북도,군산시,자동차세차업,셀프세차,전라북도 군산시 백릉로 200 (조촌동),연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,이병일 외 1명 (조명옥),063-445-5758,4670000-22-2014-00019,35.977127,126.747819,2019-09-06,4670000,전라북도 군산시
명품실내손세차,전라북도,군산시,자동차세차업,손세차,전라북도 군산시 공항로 127 (소룡동),일요일,09:00,18:00,,,차량별 상이 방문 전 전화요망,전종래,063-466-1613,4670000-22-2014-00018,35.973025,126.675811,2019-09-06,4670000,전라북도 군산시
동경주유소,전라북도,군산시,주유소운영업,자동세차,전라북도 군산시 옥서면 공항로 702,연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,최영순,063-461-4656,4670000-22-2014-00015,35.932326,126.642804,2019-09-06,4670000,전라북도 군산시
골든벨주유소,전라북도,군산시,주유소운영업,자동세차,전라북도 군산시 공단대로 90 (미장동),연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,김청랑,063-452-0100,4670000-22-2014-00009,35.9599391,126.731514,2019-09-06,4670000,전라북도 군산시
남군산주유소,전라북도,군산시,주유소운영업,자동세차,전라북도 군산시 옥구읍 상평로 16,연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,이순자,063-445-4158,4670000-22-2014-00008,35.9233674,126.6876736,2019-09-06,4670000,전라북도 군산시
세신주유소,전라북도,군산시,주유소운영업,자동세차,전라북도 군산시 옥녀로 36 (내초동),연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,양병익,063-463-5104,4670000-22-2014-00007,35.965367,126.618983,2019-09-06,4670000,전라북도 군산시
카카오토스팀손세차,전라북도,군산시,자동차세차업,손세차,전라북도 군산시 상나운로 9 (나운동),일요일,09:00,18:00,,,차량별 상이 방문 전 전화요망,서세화,,4670000-22-2014-00005,35.964082,126.692081,2019-09-06,4670000,전라북도 군산시
(유)용명에너지직영충전소,전라북도,군산시,주유소운영업,자동세차,전라북도 군산시 옥산면 옥산로 154,연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,박상섭,063-471-5144,4670000-22-2013-00013,35.948916,126.746938,2019-09-06,4670000,전라북도 군산시
코끼리셀프세차타운,전라북도,군산시,자동차세차업,셀프세차,전라북도 군산시 조촌로 81 (조촌동),연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,이상두,063-451-0725,4670000-22-2013-00011,35.9712718,126.737447,2019-09-06,4670000,전라북도 군산시
수송셀프세차장,전라북도,군산시,자동차세차업,셀프세차,전라북도 군산시 미장서로 90 (수송동),연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,전길식,,4670000-22-2013-00010,35.967187,126.722553,2019-09-06,4670000,전라북도 군산시
군산셀프세차타운,전라북도,군산시,자동차세차업,셀프세차,전라북도 군산시 진포로 131 (경장동),연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,강오근,063-446-9980,4670000-22-2013-00006,35.970423,126.732905,2019-09-06,4670000,전라북도 군산시
타이어테크 군산대점,전라북도,군산시,자동차세차업,셀프세차,전라북도 군산시 대학로 511 (미룡동),연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,양소연,063-464-2121,4670000-22-2012-00006,35.949696,126.685773,2019-09-06,4670000,전라북도 군산시
훼미리셀프세차타운,전라북도,군산시,자동차세차업,셀프세차,전라북도 군산시 칠성6길 103 (산북동),연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,전태현,063-466-6720,4670000-22-2012-00004,35.964588,126.677951,2019-09-06,4670000,전라북도 군산시
학가이,전라북도,군산시,자동차세차업,손세차,전라북도 군산시 상신5길 14 (나운동),일요일,09:00,18:00,,,차량별 상이 방문 전 전화요망,유명순,,4670000-22-2011-00019,35.971835,126.697737,2019-09-06,4670000,전라북도 군산시
문화셀프 세차장,전라북도,군산시,자동차세차업,셀프세차,전라북도 군산시 문화안길 20 (문화동),연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,황경현,,4670000-22-2011-00018,35.971428,126.704476,2019-09-06,4670000,전라북도 군산시
롯데주유소,전라북도,군산시,주유소운영업,자동세차,전라북도 군산시 공항로 579 (개사동),연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,전현배,063-464-2525,4670000-22-2011-00005,35.939431,126.652946,2019-09-06,4670000,전라북도 군산시
새만금군산충전소,전라북도,군산시,가스충전업,자동세차,전라북도 군산시 새만금북로 519 (내초동),연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,이용일,063-463-6364,4670000-22-2010-00008,35.949317,126.593345,2019-09-06,4670000,전라북도 군산시
종금주유소,전라북도,군산시,주유소운영업,자동세차,전라북도 군산시 새만금북로 794 (내초동),연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,박종금,063-451-6470,4670000-22-2010-00002,35.953164,126.622938,2019-09-06,4670000,전라북도 군산시
서원주유소,전라북도,군산시,주유소운영업,자동세차,전라북도 군산시 옥녀로 18 (내초동),연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,이선미,063-467-5157,4670000-22-2009-00009,35.9642582,126.621466,2019-09-06,4670000,전라북도 군산시
바른길주유소,전라북도,군산시,주유소운영업,자동세차,전라북도 군산시 미성로 458 (산북동),연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,조정재 외1,063-452-4257,4670000-22-2009-00002,35.955401,126.670962,2019-09-06,4670000,전라북도 군산시
씨제이대한통운(주)신군산항주유소,전라북도,군산시,주유소운영업,자동세차,전라북도 군산시 외항로 399 (산북동),연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,대표이사,063-471-5199,4670000-22-2008-00024,35.965843,126.625421,2019-09-06,4670000,전라북도 군산시
동서남북셀프세차장,전라북도,군산시,자동차세차업,셀프세차,전라북도 군산시 칠성로 170 (소룡동),연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,이상옥,063-452-2440,4670000-22-2008-00020,35.969975,126.679395,2019-09-06,4670000,전라북도 군산시
하늘주유소,전라북도,군산시,주유소운영업,자동세차,전라북도 군산시 서수면 함안로 431,연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,한영미,063-451-8999,4670000-22-2008-00013,36.023835,126.879172,2019-09-06,4670000,전라북도 군산시
가나셀프세차장,전라북도,군산시,자동차세차업,셀프세차,전라북도 군산시 옥산면 월명로 69,연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,박영심,063-462-6826,4670000-22-2008-00012,35.950008,126.7153381,2019-09-06,4670000,전라북도 군산시
주식회사 만땅주유소,전라북도,군산시,주유소운영업,자동세차,전라북도 군산시 해망로 671 (산북동),연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,김상호,063-468-5188,4670000-22-2008-00009,35.977582,126.669143,2019-09-06,4670000,전라북도 군산시
수정주유소,전라북도,군산시,주유소운영업,자동세차,전라북도 군산시 조촌로 202 (경암동),연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,김정희,063-445-8815,4670000-22-2008-00008,35.982406,126.738101,2019-09-06,4670000,전라북도 군산시
연안충전소,전라북도,군산시,가스충전업,자동세차,전라북도 군산시 강변로 246 (내흥동),연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,김기동,063-446-5115,4670000-22-2008-00002,35.9917399,126.748225,2019-09-06,4670000,전라북도 군산시
실크로드주유소,전라북도,군산시,주유소운영업,자동세차,전라북도 군산시 외항로 83 (산북동),연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,서정두,063-471-5141,4670000-22-2008-00001,35.974435,126.659299,2019-09-06,4670000,전라북도 군산시
(유)비행장주유소,전라북도,군산시,주유소운영업,자동세차,전라북도 군산시 공항로 476 (산북동),연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,선미숙,063-467-5137,4670000-22-2007-00630,35.948608,126.655207,2019-09-06,4670000,전라북도 군산시
은혜주유소,전라북도,군산시,주유소운영업,자동세차,전라북도 군산시 월명로 148 (수송동),연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,김세훈,063-442-5112,4670000-22-2007-00629,35.957047,126.716173,2019-09-06,4670000,전라북도 군산시
해나지오주유소,전라북도,군산시,주유소운영업,자동세차,전라북도 군산시 월명로 115 (지곡동),연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,조일현,063-465-5185,4670000-22-2007-00626,35.9540442,126.715298,2019-09-06,4670000,전라북도 군산시
으뜸카서비스,전라북도,군산시,자동차세차업,손세차,전라북도 군산시 신설로 11 (나운동),일요일,09:00,18:00,,,차량별 상이 방문 전 전화요망,최병훈,063-468-7734,4670000-22-2007-00625,35.969404,126.695832,2019-09-06,4670000,전라북도 군산시
㈜삼나서광주유소,전라북도,군산시,주유소운영업,자동세차,전라북도 군산시 구암로 158 (구암동),연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,조익환,063-442-5151,4670000-22-2007-00621,35.983441,126.756199,2019-09-06,4670000,전라북도 군산시
금강LPG충전소,전라북도,군산시,가스충전업,자동세차,전라북도 군산시 개정면 구암로 224,연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,최승현,063-453-2020,4670000-22-2007-00616,35.9848470,126.763355,2019-09-06,4670000,전라북도 군산시
군산IC LPG충전소,전라북도,군산시,가스충전업,자동세차,전라북도 군산시 성산면 군익로 111,연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,김혜정,063-453-5185,4670000-22-2007-00610,35.983122,126.788593,2019-09-06,4670000,전라북도 군산시
엑센트주유소,전라북도,군산시,주유소운영업,자동세차,전라북도 군산시 대학로 191 (문화동),연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,진교성,063-461-2631,4670000-22-2006-00603,35.974747,126.7023840,2019-09-06,4670000,전라북도 군산시
(유)한양에너지,전라북도,군산시,가스충전업,자동세차,전라북도 군산시 공항로 141 (산북동),연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,대표이사,063-464-6828,4670000-22-2006-00599,35.972581,126.674926,2019-09-06,4670000,전라북도 군산시
사랑을 담는 주유소,전라북도,군산시,주유소운영업,자동세차,전라북도 군산시 해망로 580 (소룡동),연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,장남재,063-904-6665,4670000-22-2006-00594,35.981639,126.679344,2019-09-06,4670000,전라북도 군산시
(유)대박주유소,전라북도,군산시,주유소운영업,자동세차,전라북도 군산시 옥산면 월명로 81,연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,윤홍석,063-464-4648,4670000-22-2006-00592,35.9509740,126.715295,2019-09-06,4670000,전라북도 군산시
(주)한신가스,전라북도,군산시,가스충전업,자동세차,전라북도 군산시 조촌로 167 (조촌동),연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,최진영,063-445-4750,4670000-22-2005-00589,35.979201,126.737234,2019-09-06,4670000,전라북도 군산시
새만금 충전소,전라북도,군산시,가스충전업,자동세차,전라북도 군산시 월명로 112 (지곡동),연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,박기임,063-467-2002,4670000-22-2005-00588,35.953963,126.716161,2019-09-06,4670000,전라북도 군산시
유쾌한주유소,전라북도,군산시,주유소운영업,자동세차,전라북도 군산시 구암로 97 (구암동),연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,황광규,063-445-9110,4670000-22-2004-00572,35.982902,126.749176,2019-09-06,4670000,전라북도 군산시
하마셀프세차타운,전라북도,군산시,자동차세차업,셀프세차,전라북도 군산시 경포천로 140 (미장동),연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,조성근,063-446-7783,4670000-22-2004-00570,35.9712243,126.726462,2019-09-06,4670000,전라북도 군산시
성은주유소,전라북도,군산시,주유소운영업,자동세차,전라북도 군산시 미성로 442 (산북동),연중무휴,09:00,18:00,09:00,18:00,차량별 상이 방문 전 전화요망,황재곤,063-471-7882,4670000-22-2004-00567,35.955655,126.669316,2019-09-06,4670000,전라북도 군산시
(주)현우 신중마주유소,전라남도,광양시,주유소 운영업,세차장,전라남도 광양시 백운로 1226 (마동),"일요일, 공휴일",10:00,18:00,10:00,18:00,시세,김병현,061-791-5555,4840000-22-2005-00006,34.938847,127.701876,2019-05-22,4840000,전라남도 광양시
153자유카,전라남도,광양시,자동차 세차업,세차장,전라남도 광양시 불로로 220 (중동),"일요일, 공휴일",10:00,18:00,10:00,18:00,시세,최봉열,061-793-1530,4840000-22-2005-00004,34.943953,127.703204,2019-05-22,4840000,전라남도 광양시
매일주유소,전라남도,광양시,주유소 운영업,세차장,전라남도 광양시 사동로 44 (중동),"일요일, 공휴일",10:00,18:00,10:00,18:00,시세,매일주유소 박계영,061-791-2364,4840000-22-2005-00001,34.943066,127.687344,2019-05-22,4840000,전라남도 광양시
뉴타이어뱅크,전라남도,광양시,자동차 수리업,세차장,전라남도 광양시 중마로 542 (중동),"일요일, 공휴일",10:00,18:00,10:00,18:00,시세,정서기,061-794-1314,4840000-22-2003-00008,34.936195,127.700966,2019-05-22,4840000,전라남도 광양시
마리나정비,전라남도,광양시,자동차 세차업,세차장,전라남도 광양시 진월면 백운1로 514,"일요일, 공휴일",10:00,18:00,10:00,18:00,시세,이정순,061-772-5132,4840000-22-2003-00007,34.9727914803,127.746918,2019-05-22,4840000,전라남도 광양시
타이어프로중마점,전라남도,광양시,자동차 수리 및 세차업,세차장,전라남도 광양시 중동 1323-1,"일요일, 공휴일",10:00,18:00,10:00,18:00,시세,최도현,,4840000-22-2002-00008,34.944018,127.6966383676,2019-05-22,4840000,전라남도 광양시
오뚜기세차장,전라남도,광양시,자동차 세차업,세차장,전라남도 광양시 금영로 208 (광영동),"일요일, 공휴일",10:00,18:00,10:00,18:00,시세,정옥순,061-792-5039,4840000-22-2001-00004,34.967955,127.716653,2019-05-22,4840000,전라남도 광양시
SK네트웍스(주) 의정부 이마트세차장,경기도,의정부시,주유소,,경기도 의정부시 민락로 214,,,,,,,대표이사,031-850-1247,3820000-22-2016-00002,37.7438367,127.1028504,2019-04-01,3820000,경기도 의정부시
투페이스,경기도,의정부시,세차장,,경기도 의정부시 평화로 209,,,,,,,박종형외 1인,031-876-4824,3820000-22-2016-00001,37.710592,127.047428,2019-04-01,3820000,경기도 의정부시
에버리치손세차,경기도,의정부시,세차장,,경기도 의정부시 호국로1336번길 9-9,,,,,,,김경자 외 2인,031-828-2672,3820000-22-2015-00006,37.7440107566,127.0532346755,2019-04-01,3820000,경기도 의정부시
동화자동차써비스,경기도,의정부시,세차장,,경기도 의정부시 추동로108번길 12,,,,,,,김동희,031-828-2672,3820000-22-2015-00004,37.7460316,127.0664254,2019-04-01,3820000,경기도 의정부시
린스몰,경기도,의정부시,세차장,,경기도 의정부시 금오로 16,,,,,,,최종인,031-840-7170,3820000-22-2015-00001,37.7533373,127.0675042,2019-04-01,3820000,경기도 의정부시
훼미리주유소,경기도,의정부시,주유소,,경기도 의정부시 송산로 970,,,,,,,김경미,031-821-1723,3820000-22-2014-00005,37.718165,127.1039098,2019-04-01,3820000,경기도 의정부시
현대세차장,경기도,의정부시,세차장,,경기도 의정부시 서부로 526,,,,,,,이정우,031-828-2672,3820000-22-2014-00003,37.7497403,127.0577623,2019-04-01,3820000,경기도 의정부시
명품세차,경기도,의정부시,세차장,,경기도 의정부시 호국로 1309-3,,,,,,,이정우,031-841-2247,3820000-22-2014-00002,37.7439073,127.0497219,2019-04-01,3820000,경기도 의정부시
