,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
104,1087,2,1,2,2,대만, ,2,12,3,2, ,2,1,2,3,1,친구/연인,2,개별여행,7,3,5,5,4,3,5,3,3,4,3,4,4,3,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,9,5,8,1,2,17,고궁/역사유적지방문,1,7,10, ,5,10, ,1361.7,453.9,907.8
131,1722,1,2,2,3,대만, ,3,7,4,6,3,4,1,1,3,4,혼자,1,개별여행,5,5,5,5,4,4,5,3,5,3,3,5,4,5,5,5, , , , , , , , , , , , ,2, , , ,16, , , , , , , ,6, ,8, , ,125,127,134,18,19,21,자연경관감상,2,1,3,9,5,11,18,1279.2,656.0,623.2
152,1726,1,3,2,6,대만,2,1,4,1,2, ,3,1,1,3,8,친구/연인,3,단체여행,4,4,5,5,4,3,3,4,4,4,4,4,4,4,4,4, , , , , , , , , , , ,7,2, , , , , , , , , , , ,6, , , , ,97,96,100,18,2,1,자연경관감상,1,1,9,10,3,4,5,1054.8895,263.7223531,791.1670593
251,230,1,3,2,4,대만, ,3,2,3,2, ,1,6, , , ,혼자,1,개별여행,5,5,4,5,5,5,4,4,4,3,3,5,4,4,3,4,1,4,8, , , , , , , , , , , , , , , , ,1,2,3, , , , , , , ,20, , ,14,2, ,식도락,1,1, , ,15, , ,160.0,100.0,60.0
422,839,1,3,3,4,대만, ,4,8,2, , ,1,6, , , ,혼자,1,개별여행,6,5,5,5,5,4,4,4,4,2,4,5,5,5,5,5,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,11, , ,16,18,17,자연경관감상,1,1,9,10,5,12, ,857.6554501,813.8975189,43.75793113
434,289,1,0,2,8,대만, ,1,1,3,2,4,5,7, , , ,직장동료,6,개별여행,150,5,5,4,4,4,5,5,5,4,5,5,4,5,3,4,1, , , , , , , , , , ,7,2, , , , , , ,1, , , , ,6, , , , ,104,99,136,14,18,20,자연경관감상,1,3,9, ,4,13,14,4467.295337,812.2355158,3655.059821
435,414,2,3,3,1,대만, ,10,1,3,4,1,1,6, , , ,혼자,1,개별여행,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4, , , , , , , , , , , , ,2, , , , , , , , , , , ,6, , , , ,97,96,99,15,2,1,식도락,1,1,10, ,10,11,14,354.9469204,354.9469204,0.0
472,1727,2,1,2,3,대만, ,1,3,3,1,2,5,1,2,7,6,친구/연인,2,단체여행,5,4,4,5,3,3,4,4,4,4,3,4,4,4,4,4, , , , , , , , , ,15, , ,2, , , , , , , , , , , ,6, , , , ,79,80,100,18,1,3,자연경관감상,1,1,9, ,1,9,12,648.0,194.4,453.6
513,1730,2,2,2,3,대만, ,1,7,4,3,2,6,1,1,4,3,친구/연인,4,개별여행,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,1,4,17,1,2,21,시티투어버스이용,1,7,8,9,5,13,18,1282.48,656.0,626.48
525,1724,1,1,1,4,대만, ,3,8,2,3,7,2,1,16,6,11,친구/연인,2,개별여행,5,4,4,4,4,4,4,5,4,4,4,4,4,5,4,4, , , , , , , , , , , , ,2, , , ,16, , , , , , , ,6, ,8, , ,128,96,127,18,7,8,자연경관감상,1,1,9, ,1,4,10,1767.820417,1312.737934,455.0824837
526,1727,2,2,1,3,대만,1,1,8,2,3,4,3,1,9,7,6,친구/연인,2,개별여행,4,4,4,4,5,5,4,4,4,5,5,4,4,4,4,4,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,96,1,5,21,8,1,시티투어버스이용,2,7,9, ,4,6,10,940.5,660.0,280.5
540,1720,2,2,2,4,대만, ,2,9,2,4,3,3,5, , , ,혼자,1,개별여행,3,5,5,5,5,5,5,5,5,3,4,5,5,5,5,4, , , , , , , , , , , , ,2, , , , , , , , , , , ,6, , , , ,101,97,103,4,2,1,휴양/휴식,2,3,9, ,4,5,10,809.19,399.6,409.59
541,1722,2,1,2,4,대만, ,1,9,3,4,2,1,1,10,4,2,친구/연인,2,개별여행,2,5,4,4,4,5,5,5,4,4,4,5,3,4,4,4, , , , , , , , , , , , ,2, , , , , , , , , , , ,6, , , , ,99,97,96,2,1,4,식도락,1,1,3,9,4,5,6,938.5141654,701.692834,236.8213315
559,590,2,1,2,11,대만, ,4,11,3,7, ,6,7, , , ,혼자,1,개별여행,82,5,5,5,5,4,5,5,5,4,3,5,4,5,5,5,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,14,11,28,14,2,1,연수/교육/연구,8,9,10, ,4,5,14,3061.75,0.0,3061.75
777,101,1,5,2,10,대만, ,2,10,3, , ,2,1,1, , ,가족/친지,2,개별여행,10,4,4,3,3,4,4,3,3,3,3,5,3,4,3,4,1, , ,9, , , , , , , , , , , , , , , ,1, , ,4, , , , , , ,15,50,1,18,2,17,자연경관감상,2,5,7,10,9,10,11,1886.7,496.5,1390.2
803,410,2,1,2,4,대만, ,1,1,2,3, ,2,1,4,13,16,혼자,1,개별여행,8,5,4,4,4,5,4,5,5,4,4,5,5,5,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,8,20,14,2,1, ,식도락,4,5,10, ,4,10,15,951.72,618.0,333.72
807,57,2,1,2,4,대만, ,4,2,3,2,4,12,7, , , ,친구/연인,4,개별여행,8,4,4,4,4,4,4,5,4,4,3,4,4,4,4,4,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,98,96,97,2,1,19,자연경관감상,2,7,9,10,3,4,15,556.2,92.7,463.5
808,451,2,2,2,4,대만, ,2,3,3,2, ,1,1,4,2,12,혼자,1,개별여행,7,4,4,4,4,5,5,3,3,4,2,5,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,14,9, ,2,1, ,식도락,4,10,11, ,4,9,14,800.0,0.0,800.0
815,711,2,1,2,11,대만, ,1,6,2,3,4,1,1,2,4,7,혼자,1,개별여행,2,4,5,3,4,4,5,4,4,4,4,4,4,5,5,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,136, ,1,2, ,식도락,2,1,7,10,4,5,10,322.04,232.4,89.64
