,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
80,455,1,1,2,8,독일, ,1,6,3,2,5,2,1,13,3, ,혼자,1,개별여행,4,3,4,4,2,4,2,4,4,3,4,4,5,3,2,3,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,8,5,30,2,7,21,식도락,2,7, , ,9,13, ,262.7822,0.0,262.7821623
93,36,1,3,3,2,독일, ,1,5,1,2,4,3,6, , , ,직장동료,2,개별여행,3,5,5,4,5,5,4,4,4,4,4,5,3,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,4,3,5,16,17,4,업무수행,1,1,7, ,14,18, ,709.02,545.4,163.62
111,1035,1,4,2,5,독일, ,3,11,3,2,5,3,6, , , ,혼자,1,개별여행,3,5,5,3,4,5,5,5,3,3,3,5,4,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,9, , ,16,2,14,식도락,1,1, , ,8,9, ,593.487,477.117,116.37
119,1779,1,2,2,2,독일, ,1,3,1,3,2,12,1,1,4, ,친구/연인,6,개별여행,6,4,4,4,5,5,4,4,4,5,4,4,4,4,4,4,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,3,6,96,1,2,22,전통문화체험,1,7,9, ,1,3,4,1500.0,500.0,1000.0
139,1034,1,3,2,2,독일, ,20,11,3,2,8,1,6, , , ,혼자,1,개별여행,3,4,4,4,5,5,9,3,3,3,3,3,4,4,5,4,1,4, , , , , , , , , , , , , , , , , ,1,2, , , , , , , , ,1,20,136,16,17, ,업무수행,1,12, , ,21, , ,881.4378013,881.4378013,0.0
147,1197,2,4,2,9,독일, ,2,1,3, , ,24,5, , , ,가족/친지,2,개별여행,8,4,4,4,4,4,5,5,5,3,3,5,3,4,5,5,1, , , ,6, , , , , ,3, ,2,5, , , , , ,1, , , ,5,6,7, , , ,58,1,2,2,17,18,식도락,1,8,9, ,9,11,17,812.2355158,0.0,812.2355158
154,357,1,3,3,5,독일, ,1,5,3, , ,6,6, , , ,혼자,1,개별여행,5,4,5,5,5,4,4,4,4,4,5,5,3,4,4,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,14, , ,15,16, ,미팅/회의/학술대회/박람회참가,1,3, , ,18, , ,441.774,218.16,223.614
159,289,1,3,3,2,독일, ,10,2,2, , ,3,6, , , ,혼자,1,개별여행,6,5,5,5,5,5,5,5,5,4,3,4,4,4,5,5,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,99,20, ,16,1, ,업무수행,1,1, , ,10, , ,2300.0,2300.0,0.0
206,259,2,1,2,12,독일, ,1,8,3,5,2,3,5, , , ,혼자,1,개별여행,4,5,5,4,4,5,5,5,4,2,4,5,4,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,14,4,5,1,7,2,식도락,2,7,8,10,4,5,14,460.59,236.2,224.39
212,560,1,0,3,4,독일, ,1,10,3, , ,4,1,2,6,4,혼자,1,개별여행,6,4,4,5,5,5,5,3,4,4,4,5,3,5,4,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,6, ,9,2,1,쇼핑,2,4,7, ,4,18, ,139.644,69.822,69.822
225,194,2,4,3,5,독일, ,1,9,3,4, ,2,1,16,3,1,혼자,1,개별여행,3,5,5,5,5,4,9,5,5,5,5,5,4,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,11,2,1,17,18,4,고궁/역사유적지방문,1,12, , ,21, , ,535.68,357.12,178.56
270,181,1,3,2,5,독일, ,1,3,3,2, ,2,6, , , ,혼자,1,개별여행,6,4,5,4,4,5,9,3,4,2,3,5,4,4,3,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1, , ,16,11, ,레포츠활동,1,12, , ,21, , ,858.7229073,644.0421805,214.6807268
303,392,1,1,3,4,독일, ,1,9,2,6, ,2,6, , , ,혼자,1,개별여행,4,4,5,3,4,4,9,4,3,3,3,4,5,5,5,5,1, , ,9, , , , , , , , , , , , , , , ,1, , ,4, , , , , , ,47,49,51,16,18, ,업무수행,1,12, , ,21, , ,910.0,700.0,210.0
304,48,1,1,2,8,독일, ,1,10,3,4,2,12,7, , , ,가족/친지,6,개별여행,121,4,5,5,3,2,4,4,3,1,4,4,4,4,2,2,1,4, , , , , , , , , , ,2, , , , , , ,1,2, , , ,6, , , , ,5,6,98,14,22,1,연수/교육/연구,2,3,4,7,3,11,16,3208.433597,1604.216798,1604.216798
324,622,2,1,2,8,독일, ,1,11,2,3,5,4,1,4,7,3,친구/연인,4,개별여행,5,5,2,5,5,5,3,4,3,3,4,5,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,9,5,17,22,7,고궁/역사유적지방문,7,7, , ,4, , ,176.2875603,0.0,176.2875603
326,669,1,4,2,2,독일, ,7,11,9, , ,2,6, , , ,가족/친지,9,개별여행,6,4,4,4,5,5,9,4,5,5,4,5,4,5,5,3,1, , , , , , , , , , , , , ,12, , , , ,1, , , , , ,7, , , ,136, , ,16, , ,업무수행,1,12, , ,21, , ,925.5096914,705.1502411,220.3594503
330,518,1,1,4,4,독일,5,1,12,3,2, ,3,1,17, , ,가족/친지,2,개별여행,2,4,4,3,1,5,4,4,5,2,4,5,3,4,4,5, ,4, , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,22, , ,1,3, ,온천/스파,2,9, , ,18, , ,73.7118,0.0,73.7118
339,119,1,5,2,7,독일, ,20,6,9, , ,3,6, , , ,혼자,1,개별여행,7,4,4,4,4,4,5,4,4,4,4,5,5,5,5,5,1, , , , , , , , ,15, , ,2, , , , , , ,1, , , , ,6, , , , ,79, , ,16, , ,업무수행,1,12, , ,21, , ,2014.6632,2014.663245,0.0
347,689,1,1,2,8,독일,8,1,12,3,8,5,13,7, , , ,혼자,1,개별여행,108,5,4,5,4,4,4,5,5,3,4,5,4,5,5,5,1,4,8, , , , , , , , , ,2, , , ,16, , ,1,2,3, , ,6, ,8, , ,129,97,29,18,9,14,자연경관감상,2,3,9, ,4,10,11,2700.0,2000.0,700.0
407,441,1,3,3,5,독일, ,1,2,3, , ,12,6, , , ,혼자,1,개별여행,241,4,5,5,4,4,4,5,4,2,3,5,4,4,5,5,1,4, ,9,6, , ,17, , , , , ,5, ,13,16, , ,1,2, ,4,5, ,7,8, , ,126,2,45,14,16,18,자연경관감상,1,5,6,7,4,7,16,17061.21,10467.0,6594.21
418,1023,1,2,2,1,독일, ,1,7,8, , ,1,6, , , ,혼자,1,개별여행,10,5,5,5,5,5,5,5,4,3,5,5,4,4,4,5, , , , , , , , , , , ,7, , , , , , , , , , , , ,6, , , , ,136, , ,16, , ,업무수행,1,3, , ,8,9, ,1624.473115,1453.475945,170.99717
425,555,2,2,2,5,독일, ,1,10,3, , ,2,1,3,4,2,혼자,1,개별여행,3,4,5,5,5,5,4,4,5,1,5,4,5,5,4,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,17,8,17,18,1,고궁/역사유적지방문,2,4, , ,2, , ,197.829,197.829,0.0
463,639,1,2,2,3,독일, ,1,3,5,2,4,1,1,16,9,10,친구/연인,2,개별여행,4,5,5,5,3,5,5,4,4,3,4,5,4,5,3,5,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,14,1,30,11,17,18,레포츠활동,2,1,9, ,5,20, ,286.1168,100.9824,185.1344
491,256,2,2,3,12,독일, ,4,5,3,4, ,6,1,3,4,2,혼자,1,개별여행,10,4,3,5,4,4,3,4,3,2,3,5,5,3,1,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,5,6,2,17,1,식도락,1,3,4,7,5,10,17,2617.92,2181.6,436.32
511,701,1,1,2,1,독일, ,1,7,1, , ,9,1,1,16,17,가족/친지,2,개별여행,11,4,5,5,5,3,2,5,5,3,2,5,3,5,5,5,1, , , , , , , ,14, , , ,2, ,12, , , , ,1, , , , ,6,7, , , ,72,8,2,22,18,17,전통문화체험,1,4,6,10,3,9, ,1705.35,0.0,1705.35
538,1043,1,1,2,1,독일, ,1,9,3,2, ,6,1,4,3,2,가족/친지,2,개별여행,3,5,5,5,5,5,5,5,5,3,5,4,5,5,3,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,17, ,1,20,2,식도락,7,3, , ,2,5, ,952.32,476.16,476.16
594,573,1,0,1,8,독일,20,1,2,9, , ,6,1,17,2,7,혼자,1,개별여행,2,4,3,4,5,4,4,4,2,2,3,4,2,5,3,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,8, ,17,1,4,고궁/역사유적지방문,1,1,7, ,3,4, ,198.873,0.0,198.873
605,868,1,2,2,5,독일, ,5,4,3,2, ,2,6, , , ,혼자,1,개별여행,271,4,3,3,4,4,3,4,2,2,3,4,3,4,4,4, , , , , ,10, , , , , , , , , , , , , , , , , ,5, , , , , ,59,60,62,16,18,7,자연경관감상,8,9, , ,3,4,16,9805.36,1598.7,8206.66
635,286,1,1,2,8,독일,1,1,12,3,5,2,1,4,2,4,15,혼자,1,개별여행,10,5,5,5,5,5,5,5,5,4,5,5,3,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,14,5,9,1,7,17,쇼핑,2,7,10,11,4,5,6,1379.124,237.78,1141.344
652,157,1,0,2,8,독일,1,1,12,3,2,4,8,7, , , ,혼자,1,개별여행,123,4,5,5,4,5,5,4,4,2,4,5,3,4,3,4,1, , ,9, , , , ,14, , , ,2, , , ,16, , ,1, , ,4, ,6, ,8, , ,124,4,16,18,22,17,자연경관감상,2,4,6,7,4,16, ,3210.03,0.0,3210.03
669,647,1,3,2,2,독일, ,1,7,3, , ,3,6, , , ,혼자,1,개별여행,3,5,5,4,5,5,5,4,4,3,3,5,5,5,5,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,13,20, ,16, , ,업무수행,1,1, , ,10, , ,511.605,0.0,511.605
693,774,2,1,3,2,독일, ,1,2,2, , ,3,5, , , ,친구/연인,2,개별여행,4,5,4,5,5,4,4,4,4,4,3,5,3,4,4,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1, , ,19,2,1,공연/민속행사/축제참가관람,2,9, , ,9,11,15,209.34,0.0,209.34
