,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
36,320,1,1,2,7,러시아,20,1,4,3,1,8,12,1,3,9,11,혼자,1,개별여행,21,5,3,5,5,5,5,5,5,5,5,5,3,5,5,5, , , , , , , , ,14, ,3, ,2, , , , , , , , , , , ,6, , , , ,72,102,96,22,9,7,전통문화체험,1,10, , ,4, , ,3350.0,0.0,3350.0
38,404,2,1,2,7,러시아, ,10,12,6,2,3,3,4,3,5,16,혼자,1,개별여행,14,5,5,5,4,4,4,5,5,4,3,5,3,5,5,5,1, , , , , , , , , , ,7,2, , , , , , ,1, , , , ,6, , , , ,96,1,93,7,18,2,유흥.오락,2,1,6,10,4,6,18,2700.0,1350.0,1350.0
70,321,1,1,2,12,러시아,2,1,4,3,2,5,6,1,1,11,10,혼자,1,개별여행,4,5,5,5,3,2,5,5,4,3,3,5,4,5,4,5,1, , , ,6, , , , , , , , , , , , , , ,1, , , ,5, , , , , ,13,6,5,18,7,1,자연경관감상,2,5,9,10,4,5, ,680.0,0.0,680.0
102,595,2,2,1,3,러시아, ,1,7,2,3,4,1,5, , , ,혼자,1,개별여행,31,4,5,5,5,3,4,4,5,5,3,5,4,4,2,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,16,8,2,1,3,18,온천/스파,4,3,4, ,4,5,10,1538.97453,0.0,1538.97453
103,592,2,1,2,5,러시아, ,1,8,3,5,2,1,1,13,4,3,혼자,1,개별여행,5,5,5,5,4,5,5,5,5,4,4,5,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,20,14,22,18,1,전통문화체험,2,4,6,7,5,14,19,293.1781385,0.0,293.1781385
163,301,2,2,2,4,러시아, ,1,7,2,3,5,2,1,5,7,4,친구/연인,2,개별여행,2,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,4, , , , , , , , , , , , , , , , , ,1,2, , , , , , , , ,8,3,7,1,17,2,식도락,1,1,8,10,5,11, ,188.096887,51.299151,136.797736
173,589,2,1,2,5,러시아, ,1,2,3,2,1,6,1,2,4,12,가족/친지,2,개별여행,3,5,4,5,5,5,5,5,5,3,3,5,5,5,5,5,1,4, , , , , , , , , , , , , , , , , ,1,2, , , , , , , , ,6,8,1,1,2, ,식도락,1,7, , ,4,9, ,100.0,0.0,100.0
184,650,1,1,2,7,러시아, ,1,8,3, , ,1,1,16,3, ,혼자,1,개별여행,2,5,4,4,5,4,9,4,4,4,3,5,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,20,7,1,18,17,2,자연경관감상,1,12, , ,21, , ,336.585,0.0,336.585
204,382,1,1,2,1,러시아,17,2,7,3,2,4,3,1,3,7,4,가족/친지,2,개별여행,3,5,3,5,4,5,5,5,5,5,5,5,4,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,4,17,22,9,1,전통문화체험,1,1,5,7,3,4,5,310.0,200.0,110.0
220,302,1,1,1,8,러시아, ,4,7,3,2,4,6,1,5,3,7,혼자,1,개별여행,6,4,5,5,5,5,5,5,4,2,3,5,5,5,4,4,1,4, , , , , , , , , ,7, , , , , , , ,1,2, , , ,6, , , , ,1,8,6,1,17,20,박물관/전시관방문,2,4,9,10,3,4,12,487.3419345,0.0,487.3419345
232,763,1,2,2,12,러시아,2,2,6,8,3,4,1,1,3,2,1,혼자,1,개별여행,31,4,4,4,4,4,4,4,4,4,3,3,4,4,5,5,1,4, , , , , , , , ,3, ,2, , , , , , ,1,2, , , ,6, , , , ,96,2,24,11,17, ,레포츠활동,2,10, , ,5,8,16,2300.0,1100.0,1200.0
239,765,2,2,2,1,러시아,2,1,6,1,3,2,2,1,16,9,10,혼자,1,개별여행,2,5,5,4,4,4,5,5,5,4,4,5,3,5,3,4, ,4, , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,24, , ,1, , ,쇼핑,1,9, , ,18, , ,70.0,0.0,70.0
246,745,1,1,2,7,러시아, ,1,1,2,3,5,2,1,1,3,5,혼자,1,개별여행,52,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,1,4, , , , , , , , , , , , , , ,16, , ,1,2, , , , , ,8, , ,6,22,129,13,14,7,카지노,4,1,5,9,2,4,10,1218.353274,0.0,1218.353274
255,663,1,5,2,2,러시아, ,10,4,1,7,3,6,1,17,1,9,친구/연인,2,개별여행,1,5,4,4,9,4,4,4,4,3,4,4,4,4,4,4, ,4, , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,24, , ,21,17,22,시티투어버스이용, ,1, , ,5, , ,90.0,0.0,90.0
263,557,1,1,2,5,러시아, ,2,12,1,2,3,2,7, , , ,직장동료,2,개별여행,8,5,5,5,5,5,9,5,5,3,3,5,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1, , ,16,7,4,식도락,1,12, , ,21, , ,479.1956746,424.9471076,54.24856693
278,185,1,1,2,8,러시아, ,1,7,3,2,4,2,1,1,4,3,친구/연인,2,개별여행,25,5,5,5,5,5,4,5,5,3,3,5,4,5,4,5,1, ,8,9, , , , , , ,3, ,2, , , ,16, , ,1, ,3,4, ,6, ,8, , ,29,50,96,11,22,18,레포츠활동,2,7,9,10,3,4,10,1795.470285,940.484435,854.98585
279,504,1,2,2,3,러시아, ,2,7,3, , ,1,1,1,6,9,가족/친지,3,개별여행,6,5,5,5,4,4,5,5,5,5,5,5,5,5,3,5,1, , ,9, , , , , , , , , , , , , , , ,1, , ,4, , , , , , ,46,10,5,11,9,1,레포츠활동,1,7,10, ,4,5, ,480.0,400.0,80.0
