,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
8,438,1,2,2,2,말레이시아, ,1,10,3, , ,5,1,1,2,3,친구/연인,4,단체여행,5,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,1, ,8,9, , , , , , , , , , , , , , , ,1, ,3,4, , , , , , ,48,28,4,20,18,9,테마파크,1,5, , ,2, , ,945.2,0.0,945.2
11,440,1,2,2,2,말레이시아, ,2,8,3,2,5,1,1,7,6,13,친구/연인,4,개별여행,4,4,4,4,4,5,5,3,3,3,3,5,4,4,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,4,5,20,7,15,4,유흥.오락,1,7, , ,4,13, ,1283.15,349.95,933.2
18,439,1,1,2,7,말레이시아,1,1,9,3,2,5,3,1,3,7,8,친구/연인,2,개별여행,33,4,5,5,4,4,5,5,5,4,4,5,3,5,5,5,1,4,8, , , , , ,14, ,3, ,2, , , , , , ,1,2,3, , ,6, , , , ,5,96,9,18,21,8,자연경관감상,1,5,6,7,3,4,16,1200.0,1000.0,200.0
44,439,1,1,3,2,말레이시아, ,2,8,3,5, ,2,1,11,14,2,가족/친지,6,개별여행,7,4,4,5,4,3,5,4,3,2,3,4,4,4,5,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,9,20,1,9,18,쇼핑,1,7, , ,3,4,5,933.2,0.0,933.2
99,104,1,3,2,7,말레이시아, ,4,4,1,3,4,4,1,1,7,4,가족/친지,11,개별여행,7,5,4,5,5,5,5,4,5,4,5,5,4,5,5,5,1, , , , , , , , , , , , , , , ,16, , ,1, , , , , , ,8, , ,128,135,5,1,18,21,자연경관감상,1,4,5,7,4,5,6,1305.702,0.0,1305.702
170,744,2,2,3,2,말레이시아, ,11,12,3,5,4,6,1,2,13,16,가족/친지,3,개별여행,8,4,5,5,4,4,5,5,4,3,3,5,4,4,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,7,12,1,18,7,쇼핑,2,3,5,7,19, , ,489.0,317.85,171.15
192,251,1,1,2,1,말레이시아,17,2,2,3,5,2,1,1,1,16,8,친구/연인,2,개별여행,5,4,4,5,5,3,3,4,3,2,3,4,3,4,4,4,1, ,8,9, , , , , , , , , , , , , , , ,1, ,3,4, , , , , , ,48,28,14,7,18,20,자연경관감상,2,5,7,8,2,4,6,267.48,0.0,267.48
228,492,2,2,3,12,말레이시아, ,1,6,3,7,4,6,1,1,3,4,친구/연인,2,개별여행,7,5,5,5,4,4,3,4,5,4,3,5,3,5,4,5,1,4, , , , , , ,14, , , ,2, , , , , , ,1,2, , , ,6, , , , ,2,21,76,18,21,22,자연경관감상,1,1,2,3,7,18, ,3078.24,2798.4,279.84
234,397,1,0,2,8,말레이시아, ,2,4,1,2,3,1,1,2,3,11,가족/친지,3,개별여행,7,5,4,4,4,3,4,4,4,3,4,5,4,5,4,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,3,5,8,1,9,18,박물관/전시관방문,2,3,6,8,4,9,13,1468.35,0.0,1468.35
240,302,2,2,2,7,말레이시아,10,1,8,5,2,3,1,1,3,11,4,친구/연인,4,개별여행,21,4,5,5,5,3,4,4,5,3,5,5,5,5,4,4,1,4, , , , , , , , , , , , , , , , , ,1,2, , , , , , , , ,4,5,6,1,9,17,쇼핑,2,1,5,7,5,10,18,656.3689669,0.0,656.3689669
