,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
3,282,1,1,2,8,미국, ,2,2,2,3,7,2,5, , , ,혼자,1,개별여행,7,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,1, , , , , , , , , ,3, , , , , , , , ,1, , , , ,6, , , , ,6,88,5,17,1,20,쇼핑,4,4,6,7,9,12,16,509.2254681,0.0,509.2254681
4,562,1,2,3,6,미국,1,1,8,3, , ,2,1,3, , ,혼자,1,개별여행,7,4,5,3,4,5,9,5,4,4,5,4,4,4,4,4,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,1,2,30,17,20,19,고궁/역사유적지방문,2,12, , ,21, , ,409.0,0.0,409.0
6,128,2,1,2,5,미국, ,1,4,3,5, ,6,1,3,2,4,가족/친지,9,개별여행,7,5,4,5,4,5,4,5,4,5,4,5,4,5,5,5,1, ,8,9, , , , , , , , , , , , , , , ,1, ,3,4, , , , , , ,1,31,2,19,21,1,시티투어버스이용,2,4,5,7,4,15,19,1050.0,0.0,1050.0
9,1026,1,1,2,2,미국, ,1,4,3,5, ,5,1,16,2,10,친구/연인,2,에어텔여행,4,4,5,5,4,4,5,4,4,2,3,4,5,5,4,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,8,5,1,9,2,쇼핑,1,5,7,9,1,3,5,1347.3,898.2,449.1
10,1027,2,2,2,2,미국, ,1,4,3,5, ,5,1,3,9,2,친구/연인,2,에어텔여행,4,5,5,5,5,5,5,5,4,3,5,5,2,5,4,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,1,2,1,17,20,쇼핑,1,3,5,7,4,10,11,1347.3,898.2,449.1
15,525,1,3,2,2,미국, ,1,3,3,2,4,2,5, , , ,혼자,1,개별여행,4,5,5,4,5,5,5,5,5,4,4,5,5,5,4,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,8,6,2,17,20,고궁/역사유적지방문,1,9, , ,18, , ,420.0,420.0,0.0
20,880,2,2,2,2,미국, ,1,4,2, , ,2,6, , , ,직장동료,4,개별여행,7,4,5,5,3,4,9,4,2,2,3,4,3,4,5,4, , , , , , , , ,14, ,3, , , , , , , , , , , , , ,6, , , , ,89, , ,16,15,13,시찰(산업시설등),1,12, , ,21, , ,1098.8431,1054.889412,43.95372552
27,616,2,1,2,8,미국, ,2,7,3,5,6,12,7, , , ,혼자,1,개별여행,181,5,4,5,4,5,5,5,5,5,5,5,4,5,5,5,1,4, , , ,10, , , , , , ,2,5, ,13,16, , ,1,2, , ,5,6,7,8, , ,103,116,62,18,1,4,자연경관감상,2,3,8,10,4,14,18,1350.0,1350.0,0.0
31,389,1,1,2,17,미국,1,1,11,2,3, ,1,6, , , ,혼자,1,개별여행,11,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,136,14,6,18,3,1,자연경관감상,2,9, , ,9,11,16,1450.0,350.0,1100.0
33,290,1,0,3,8,미국, ,1,12,3,2,8,3,5, , , ,혼자,1,개별여행,1,5,4,4,9,5,9,5,3,4,3,4,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,4,2,1,17,18,2,식도락, ,12, , ,21, , ,20.0,0.0,20.0
41,223,1,3,3,1,미국, ,1,9,3,2, ,2,6, , , ,혼자,1,개별여행,7,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,1, , , ,6, , , , , , , , , , , , , , ,1, , , ,5, , , , , ,136,1,6,16,2,17,업무수행,1,4, , ,9,11,18,1635.0,1200.0,435.0
