,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
78,712,1,1,2,1,베트남,1,1,2,1,3,5,1,4,1,2,9,가족/친지,3,개별여행,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,8,10,6,1,7,18,쇼핑,1,9, , ,1,3,8,1500.0,1000.0,500.0
257,852,1,2,2,3,베트남,7,1,4,1,5,2,2,1,1,2,4,가족/친지,4,개별여행,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1, ,8,9, , , , , , , , , , , , , , , ,1, ,3,4, , , , , , ,28,48,6,9,1,2,테마파크,1,5,9, ,5,6,15,1750.0,1000.0,750.0
299,776,2,0,1,8,베트남, ,1,8,2,3, ,1,1,13, , ,가족/친지,3,개별여행,6,4,3,4,5,5,5,4,4,3,4,3,3,4,5,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,6,5,136,19,17,20,고궁/역사유적지방문,1,4,7,10,4,5,9,875.1586225,0.0,875.1586225
300,808,2,1,3,12,베트남, ,2,8,2, , ,3,6, , , ,직장동료,11,단체여행,18,4,3,4,4,4,5,4,3,4,3,5,4,4,4,3, ,4, , , , , , , , , , , , ,12, ,16, , , ,2, , , , ,7,8, , ,127,108,134,15,22,13,전통문화체험,1,2,3,10,4,5,16,1000.0,550.0,450.0
301,809,1,1,3,12,베트남, ,1,8,1,2, ,1,6, , , ,직장동료,11,단체여행,18,4,3,4,4,4,4,4,3,4,4,4,4,5,4,4, ,4, , , , , , , , , , , , ,12, ,16, , , ,2, , , , ,7,8, , ,108,112,134,1,2,17,고궁/역사유적지방문,1,2,3, ,1,2,7,820.0,0.0,820.0
310,862,2,1,3,8,베트남, ,1,1,2,3,7,8,7, , , ,혼자,1,개별여행,300,5,5,4,4,3,4,3,4,3,3,5,5,4,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,8,12,14,2,1,쇼핑,5,5,7,9,3,4,5,6254.213472,6254.213472,0.0
340,113,2,3,3,3,베트남, ,1,7,1,3,2,2,1,6,7,11,가족/친지,3,단체여행,5,5,4,5,5,5,5,5,5,3,3,5,5,5,4,4,1, ,8,9, , , , , , , , , , , , , , , ,1, ,3,4, , , , , , ,4,2,48,1,2,17,쇼핑,1,1,5, ,9,8,10,1012.0,1012.0,0.0
437,860,2,0,1,8,베트남,1,1,1,3,1,6,10,7, , , ,가족/친지,3,개별여행,7,5,5,4,3,4,4,4,4,4,4,5,3,4,4,4,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,12,5,29,1,22, ,쇼핑,2,7,11, ,3,4,7,446.7295337,121.8353274,324.8942063
542,1823,1,1,1,3,베트남,5,1,9,4,3,5,1,1,1,3,7,가족/친지,4,개별여행,6,5,4,4,5,5,5,5,4,2,3,5,4,5,5,4, , , , , , , , , , , , ,2, , , ,16, , , , , , , ,6, ,8, , ,124,127,133,4,2,1,휴양/휴식,1,1,9, ,4,5,15,1377.072187,877.1160425,499.9561442
602,306,1,2,2,6,베트남, ,2,4,6, , ,20,6, , , ,혼자,1,개별여행,240,4,4,4,3,3,5,4,4,5,4,5,3,3,4,4,1, , , , , , , , , ,3, , , , , , , , ,1, , , , ,6, , , , ,5,88, ,1,13,16,업무수행,5,10, , ,4,5,8,630.0,0.0,630.0
