,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
1,840,1,3,2,2,싱가포르,1,18,11,3,2,4,5,1,1,3,2,가족/친지,4,개별여행,7,5,5,4,4,3,4,4,4,4,4,4,3,4,4,4,1, , , , , , , , , , , , , , , ,16, , ,1, , , , , , ,8, , ,125,133,131,18,20,1,자연경관감상,1,7, , ,5, , ,646.888,323.444,323.444
40,617,2,1,2,8,싱가포르, ,2,6,3,2,5,2,1,3,2,4,혼자,1,개별여행,7,5,4,4,4,4,4,4,5,4,4,4,3,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,8,9,17,1,9,테마파크,1,4,5,7,3,9,16,938.08,0.0,938.08
110,1859,1,4,3,5,싱가포르, ,5,7,5,2,3,1,1,3,4,2,가족/친지,2,개별여행,4,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5, , , , , , , , , , , , ,2, , , , , , , , , , , ,6, , , , ,96,99,104,18,4,22,자연경관감상,2,1,2,10,3,4,5,590.0,300.0,290.0
169,742,2,1,3,9,싱가포르, ,1,12,3, , ,1,1,8, , ,가족/친지,2,개별여행,8,4,5,5,5,4,5,5,5,5,5,5,4,5,5,5,1, , ,9, , , , , , , , , , , , , , , ,1, , ,4, , , , , , ,7,9,5,1,2,18,쇼핑,1,3,7,9,4,5,14,1855.5,1484.4,371.1
256,682,1,4,2,1,싱가포르, ,2,4,3,6,4,12,1,2,4,1,가족/친지,6,개별여행,8,5,5,4,4,5,5,5,5,3,4,5,4,5,5,5,1, , , , , , , , , , , ,2, , , ,16, , ,1, , , , ,6, ,8, , ,125,5,97,1,18,2,식도락,1,7,11, ,4,5,10,1287.9,751.275,536.625
271,282,2,2,1,3,싱가포르, ,1,4,3,4,6,6,1,3,1,2,친구/연인,6,개별여행,9,4,4,4,4,4,4,4,4,3,4,5,3,4,4,4,1, , ,9, , , , , , , , ,2, , , ,16, , ,1, , ,4, ,6, ,8, , ,127,96,48,17,18,1,자연경관감상,1,4,5,7,3,5,9,1359.45,357.75,1001.7
280,521,2,1,2,8,싱가포르, ,2,7,3,2,4,1,7, , , ,직장동료,6,개별여행,31,4,5,3,4,4,5,4,3,4,4,5,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,7,3,14,18,1,쇼핑,2,3,7,10,3,4,5,1201.342,0.0,1201.342
359,77,1,4,3,2,싱가포르,1,20,4,6,2,3,1,6, , , ,혼자,1,개별여행,10,5,5,5,5,5,5,5,5,3,3,5,2,5,5,5,1,4, , , , , , , , , , ,2, , ,13, , , ,1,2, , , ,6,7, , , ,96,6,114,18,21,13,자연경관감상,1,4,5,9,4,5,16,1502.55,1144.8,357.75
431,386,2,0,2,8,싱가포르,18,1,12,1,3,5,1,1,1,6,2,가족/친지,4,단체여행,6,4,3,3,4,4,5,5,5,3,4,4,4,4,4,4,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,3,28,9,1,17,18,쇼핑,1,3,5,8,2,5,8,109.89,0.0,109.89
507,1857,2,2,2,4,싱가포르, ,3,6,3,2,4,4,1,11,12,1,친구/연인,2,개별여행,4,4,4,4,4,5,5,5,5,4,4,5,4,4,4,4,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,17,10,3,1,2,17,식도락,1,9, , ,4,5,19,1082.4,432.96,649.44
518,1860,2,1,2,4,싱가포르, ,1,7,3,2, ,3,1,1,4,7,친구/연인,2,개별여행,5,4,4,4,4,4,3,3,5,3,4,4,4,4,4,4,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,11,10,12,18,4,2,휴양/휴식,2,1,4,9,5,10,15,890.151,0.0,890.151
530,1854,2,1,2,4,싱가포르, ,1,8,3,2,1,3,1,10,7,15,친구/연인,2,개별여행,3,4,5,4,4,4,4,5,5,4,4,4,4,5,4,4, , , , , , , , , , , , ,2, , , , , , , , , , , ,6, , , , ,96,97,104,1,5,18,뷰티관광,2,9, , ,3,4,15,332.5602766,0.0,332.5602766
580,5532,1,1,1,8,싱가포르, ,1,12,3,4,2,3,1,11,12,16,친구/연인,3,개별여행,4,4,5,5,4,4,4,4,5,4,4,4,4,4,4,4,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,1,14,96,17,18,1,고궁/역사유적지방문,2,4,9, ,4,13,19,935.172,742.2,192.972
607,376,2,2,2,4,싱가포르, ,3,5,6,5,2,6,1,2,7,4,혼자,1,개별여행,8,5,4,4,4,5,5,3,5,4,4,5,2,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,3,19,5,1,2, ,쇼핑,1,7,8,10,4,5,10,2006.2,573.2,1433.0
661,803,2,2,3,2,싱가포르, ,1,3,2,3,7,5,1,2,4,16,가족/친지,3,개별여행,7,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,96,99,5,1,22,2,식도락,2,7,9,10,3,4,14,850.32,0.0,850.32
