,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
14,552,2,1,3,8,영국,1,2,8,2,5,3,4,1,2,4,7,혼자,1,개별여행,21,5,4,5,4,5,5,5,4,4,4,4,4,5,4,5,1,4,8, , , , , , , , , ,2, , , ,16, , ,1,2,3, , ,6, ,8, , ,1,5,96,1,3,17,고궁/역사유적지방문,2,3,5,7,4,5,10,1043.669,0.0,1043.669
17,625,1,2,2,2,영국, ,2,2,3,4,7,3,6, , , ,혼자,1,개별여행,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,20,10, ,16,1,7,쇼핑,1,1,3,9,4,6,14,1200.0,1000.0,200.0
25,328,1,2,2,7,영국, ,1,7,3,5,1,4,1,16,1,3,혼자,1,개별여행,3,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,20,8,9,4,2,18,식도락,1,9, , ,18, , ,704.878,0.0,704.878
34,284,2,5,2,10,영국,18,1,12,2,3, ,3,1,17, , ,혼자,1,개별여행,1,5,5,5,9,5,4,5,5,4,4,5,5,5,4,5, ,4, , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,24, , ,17, , ,고궁/역사유적지방문, ,9, , ,18, , ,40.0,0.0,40.0
42,759,1,4,3,2,영국, ,4,8,3, , ,3,6, , , ,혼자,1,개별여행,3,4,4,5,4,4,9,4,4,3,4,5,4,4,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,9,20, ,16,2, ,식도락,1,12, , ,21, , ,369.908,198.165,171.743
50,266,1,3,3,2,영국, ,2,2,2, , ,1,6, , , ,혼자,1,개별여행,3,4,5,3,4,5,4,3,3,4,4,5,5,5,4,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,20, , ,15,16,2,미팅/회의/학술대회/박람회참가,1,1, , ,5,15, ,1188.192759,1188.192759,0.0
86,824,1,3,3,2,영국, ,20,11,9, , ,3,6, , , ,직장동료,2,개별여행,3,4,4,5,5,5,5,4,5,4,4,5,4,4,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,20,9,5,16, , ,업무수행,1,3, , ,10, , ,1300.0,1300.0,0.0
91,265,1,3,2,5,영국, ,12,2,9, , ,3,6, , , ,직장동료,2,개별여행,2,5,5,4,5,3,9,4,4,4,5,5,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,20, , ,16,18,10,자연경관감상,1,12, , ,21, , ,651.37,614.5,36.87
96,87,1,1,2,4,영국,1,1,6,2,3,5,2,1,16,3,4,혼자,1,개별여행,4,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,9, ,20,19, ,공연/민속행사/축제참가관람,2,12, , ,21, , ,87.5941,0.0,87.59405412
125,1029,1,4,3,2,영국, ,6,4,7, , ,1,6, , , ,혼자,1,개별여행,4,5,4,5,5,5,4,5,4,4,4,5,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,20, ,16, , ,업무수행,1,11, , ,20, , ,400.0,400.0,0.0
126,1856,1,1,2,4,영국, ,1,7,3,5,4,3,1,1,3,4,혼자,1,개별여행,11,5,5,5,5,5,5,5,5,5,5,5,3,4,5,5,1, , , , , , , , , , , ,2, , , ,16, , ,1, , , , ,6, ,8, , ,124,134,1,17,18,21,시티투어버스이용,2,1,4,7,10,11,12,1200.0,300.0,900.0
133,1039,1,1,2,7,영국, ,1,9,3,2,4,5,1,4,3,1,친구/연인,4,개별여행,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,20,5,3,1,18,자연경관감상,1,4,7,9,2,9,11,789.4044382,263.1348127,526.2696255
134,293,2,1,3,11,영국, ,1,12,3,5,4,6,1,1,16,10,친구/연인,2,개별여행,5,4,5,5,5,4,4,3,4,3,2,4,4,4,3,3,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,20,10,1,9,19,공연/민속행사/축제참가관람,1,3,10, ,4,6,10,642.006,285.336,356.67
138,743,1,1,2,4,영국,1,1,10,3,2,4,10,5, , , ,혼자,1,개별여행,6,5,5,5,5,3,5,5,3,5,3,5,4,4,4,4,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,19,97,1,1,17,20,쇼핑,2,3,9, ,4,6, ,518.583,66.485,452.098
177,328,1,0,2,8,영국, ,1,6,3,2, ,4,1,1,3,4,혼자,1,개별여행,31,4,4,5,4,4,4,4,4,3,2,1,3,5,5,5,1, , , , , , , , , , , ,2, , , ,16, , ,1, , , , ,6, ,8, , ,96,126,3,17,7,22,전통문화체험,2,8, , ,4, , ,1736.91,964.95,771.96
185,868,1,1,3,2,영국, ,1,8,3,1, ,2,6, , , ,혼자,1,개별여행,8,5,4,5,4,5,3,5,4,4,3,4,4,5,4,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,4,7,8,20,2,18,자연경관감상,1,1,5, ,4,12, ,1545.687,132.11,1413.577
213,450,2,1,2,8,영국, ,1,11,3,5,2,2,7, , , ,혼자,1,개별여행,61,4,3,4,4,4,5,5,5,5,5,5,4,5,4,4,1, , , ,6, ,11,17, , , , ,2, , , , , , ,1, , , ,5,6, , , , ,5,96,4,17,1,11,고궁/역사유적지방문,2,1,3,7,5,8,11,598.365,0.0,598.365
224,586,2,0,3,8,영국, ,1,8,3, , ,6,5, , , ,혼자,1,개별여행,64,5,4,4,3,5,3,4,3,2,3,5,4,5,5,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,3,4,11,1,17,고궁/역사유적지방문,1,5,9,11,4,5,6,2470.457,1321.1,1149.357
247,1067,1,2,3,2,영국, ,2,1,3, , ,4,6, , , ,혼자,1,개별여행,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,10,20, ,1,3,10,쇼핑,1,1,9, ,5,10,12,100.0,50.0,50.0
249,1292,2,3,3,5,영국, ,1,1,8, , ,36,6, , , ,혼자,1,개별여행,13,5,5,5,5,5,5,5,5,1,5,5,3,4,5,5,1,4, , , , , , , , , , ,2, , , , , , ,1,2, , , ,6, , , , ,20,1,2,3,17,1,온천/스파,1,1,3,7,4,5,7,1258.96505,812.2355158,446.7295337
