,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
13,604,1,2,3,5,인도, ,1,7,3,6,4,2,1,3,1,5,가족/친지,3,개별여행,22,5,5,5,3,3,5,5,5,1,2,5,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,6,16,8,22,18,19,전통문화체험,1,4,7,8,4,17, ,9300.0,0.0,9300.0
19,903,1,3,3,5,인도, ,2,2,6,2,7,3,6, , , ,친구/연인,4,개별여행,7,5,5,5,5,5,4,4,4,3,5,5,5,5,5,5, , , , , , , , , , , , , , ,12, , , , , , , , , , ,7, , , ,110,108, ,14,10,22,스포츠활동,2,1,10, ,5,10, ,820.0,400.0,420.0
26,775,1,2,2,7,인도, ,1,4,3, , ,1,6, , , ,혼자,1,개별여행,11,4,4,4,3,4,3,3,3,3,2,4,3,4,4,4,1,4,8, ,6, ,11, , , , , , , , , , , , ,1,2,3, ,5, , , , , ,56,69,24,18,16,17,업무수행,1,1,7,10,10, , ,1700.0,0.0,1700.0
69,799,1,2,2,2,인도,2,2,12,6,3,1,5,6, , , ,혼자,1,개별여행,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,11,6, ,1,21,17,시티투어버스이용,1,1,3,4,5,8, ,1054.0,1054.0,0.0
83,641,1,4, ,7,인도, ,3,6,2,3, ,5,6, , , ,혼자,1,개별여행,31,5,5,5,4,4,4,5,5,3,3,5,4,4,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,3, ,16,22,17,전통문화체험,2,3, , ,4, , ,1000.0,0.0,1000.0
248,1118,1,2,3,2,인도, ,10,1,3,2,7,2,6, , , ,혼자,1,개별여행,6,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5, , ,8, , , , , , , , , , , , , , , , , , ,3, , , , , , , ,136, , ,1,14,16,쇼핑,1,1,3,9,1,3, ,1400.0,1400.0,0.0
298,737,1,3,2,2,인도, ,10,8,3,2, ,1,6, , , ,직장동료,3,개별여행,21,5,5,5,4,4,4,5,5,4,4,5,5,5,5,5,1,4,8, , , , , , , , , , , , , , , , ,1,2,3, , , , , , , ,38,22,6,16,15,1,쇼핑,1,4,9,10,5,10, ,2700.0,2700.0,0.0
311,983,1,4,2,2,인도, ,2,1,2, , ,1,6, , , ,직장동료,2,개별여행,4,5,5,5,5,5,9,5,5,3,5,5,4,4,4,5,1, , , , , , , , , ,3, , , , , , , , ,1, , , , ,6, , , , ,136,13, ,16,2, ,식도락,1,12, , ,21, , ,495.4636646,365.5059821,129.9576825
313,986,1,3,2,2,인도, ,10,1,9, , ,2,6, , , ,직장동료,2,개별여행,4,5,4,4,4,5,9,5,3,3,4,4,4,4,5,3,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5, , ,16, , ,업무수행,1,12, , ,21, , ,450.0,450.0,0.0
334,1016,1,3,3,2,인도, ,1,1,1, , ,2,6, , , ,혼자,1,개별여행,4,5,5,9,5,5,4,4,5,4,4,5,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,7, , ,16, , ,업무수행,1,11, , ,10,18, ,1450.0,1400.0,50.0
358,686,1,3,2,12,인도, ,1,3,9, , ,5,6, , , ,혼자,1,개별여행,1,4,5,4,9,4,4,4,4,3,4,4,4,4,5,4, ,4, , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,24,21, ,16, , ,업무수행, ,1, , ,5, , ,500.0,0.0,500.0
