,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
45,801,2,1,2,7,인도네시아, ,1,4,3,2,6,12,1,1,3,5,친구/연인,2,개별여행,14,4,4,5,5,5,4,5,4,3,3,4,4,5,4,5,1, , ,9, , , , , , , , ,2, , , ,16, , ,1, , ,4, ,6, ,8, , ,1,98,125,18,2,1,자연경관감상,2,5,7,9,5,8, ,791.1671,0.0,791.1670593
48,362,2,1,2,8,인도네시아, ,2,10,3,5,2,1,1,13,1,7,혼자,1,개별여행,7,5,5,5,4,5,5,5,4,5,3,5,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,14,9,18,1,19,자연경관감상,2,4,5,7,4,5,6,833.8401601,0.0,833.8401601
51,638,2,1,2,1,인도네시아, ,4,8,3,5,2,1,8, , , ,혼자,1,개별여행,3,4,5,5,4,4,4,4,4,4,4,4,4,4,3,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,9,20,19,1, ,공연/민속행사/축제참가관람,2,1,6,7,5,19, ,306.3055179,43.75793113,262.5475868
74,686,1,1,2,8,인도네시아, ,1,6,3,7,4,3,1,17, , ,친구/연인,4,개별여행,2,4,4,4,4,3,4,4,4,3,4,5,5,5,5,5, ,4, , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,22,23, ,2,1, ,식도락,1,1, , ,9,10, ,150.0,0.0,150.0
88,579,1,2,2,7,인도네시아, ,1,12,3,2,4,6,1,3,4,2,가족/친지,12,개별여행,13,4,5,4,3,4,4,5,5,1,3,3,3,4,3,4,1, , , , , , , , , , , , , , , ,16, , ,1, , , , , , ,8, , ,1,17,131,1,9,4,자연경관감상,1,4,7,9,1,3,10,2441.185512,1808.285564,632.8999476
208,757,1,2,2,2,인도네시아, ,3,8,1,5,6,1,6, , , ,직장동료,2,개별여행,2,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4, , , , , , , , , , , , ,2, , , , , , , , , , , ,6, , , , ,136, , ,16,7,1,유흥.오락,1,1,10, ,4,5,6,3060.0,60.0,3000.0
252,583,2,2,3,11,인도네시아, ,10,2,3,2,6,3,5, , , ,혼자,1,개별여행,3,3,4,4,4,4,4,4,4,4,4,5,3,3,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,2,6,5,2,20,18,식도락,2,10, , ,10, , ,147.6753857,0.0,147.6753857
258,436,2,3,2,5,인도네시아, ,2,6,5,2,3,24,6, , , ,혼자,1,에어텔여행,3,4,4,3,4,4,4,5,5,2,4,4,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,3,7,17,22,18,고궁/역사유적지방문,1,2,8, ,5,18, ,3000.0,1500.0,1500.0
277,106,2,1,2,6,인도네시아,1,1,7,3,8,2,1,1,16,11,4,혼자,1,개별여행,7,5,5,5,5,5,5,5,5,2,4,5,3,5,4,4,1,4, , , , , , , , , , , , , , , , , ,1,2, , , , , , , , ,1,8,19,2,17,1,식도락,3,10,11, ,6,10,14,712.5,712.5,0.0
377,370,2,1,2,11,인도네시아, ,1,9,1,3,2,2,1,3,7,4,가족/친지,6,단체여행,6,5,5,5,5,5,5,5,5,5,5,5,3,5,4,5,1, , ,9, , , , , , , , , , , , , , , ,1, , ,4, , , , , , ,48,50,5,17,1,18,고궁/역사유적지방문,1,1,2,7,4,10, ,930.0,0.0,930.0
396,577,1,2,3,7,인도네시아, ,1,12,3, , ,12,1,4,1,9,가족/친지,11,개별여행,10,3,1,3,5,4,3,2,4,1,1,2,4,2,3,3,1, , , , , , , , , , , , , , , ,16, , ,1, , , , , , ,8, , ,124,4,8,4,1,9,휴양/휴식,2,4,5, ,8,10, ,904.1427822,542.4856693,361.6571129
