,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
0,584,2,0,1,8,일본, ,1,3,3,2,4,1,8, , , ,친구/연인,2,에어텔여행,3,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,7,5,18,19,7,1,공연/민속행사/축제참가관람,1,7,11, ,5,19, ,480.975,0.0,480.975
211,1752,1,4,1,7,일본, ,2,9,2,4, ,3,5, , , ,가족/친지,2,개별여행,5,4,4,4,4,5,5,4,4,4,5,5,4,4,4,5, , , , , , , , ,14, ,3, , , , , , , , , , , , , ,6, , , , ,72,76,89,2,1,18,식도락,1,1,9, ,1,3,11,728.0063152,526.2696255,201.7366898
253,1759,2,1,2,8,일본, ,3,2,1,7,2,2,7, , , ,가족/친지,30,단체여행,8,4,4,4,3,5,5,5,3,5,5,2,5,5,5,5,1, , , ,6, , , , , , , ,2, , , , , , ,1, , , ,5,6, , , , ,5,99,3,14,1,2,연수/교육/연구,1,1,7,8,5,10, ,721.4027464,0.0,721.4027464
332,6003,1,4,2,7,일본, ,3,12,2, , ,3,5, , , ,가족/친지,2,개별여행,4,5,5,4,4,5,5,4,4,5,5,4,4,4,4,5, , , , , , , , ,14, ,3, , , , , , , , , , , , , ,6, , , , ,72,78,89,17,18,2,고궁/역사유적지방문,1,3, , ,1,4, ,738.617,489.445,249.172
333,6004,2,4,2,4,일본, ,3,12,2, , ,3,1,9,12,1,가족/친지,2,개별여행,4,4,4,5,5,4,4,4,4,5,5,4,4,4,4,5, , , , , , , , , , ,3, ,2, , , , , , , , , , , ,6, , , , ,96,102,89,21,18,2,시티투어버스이용,1,10, , ,4,6, ,1147.971,756.415,391.556
411,575,1,4,3,2,일본, ,5,3,9, , ,1,6, , , ,혼자,1,개별여행,3,4,3,3,4,5,9,3,4,3,4,4,4,4,2,2, , , , , , , , , , ,3, , , , , , , , , , , , , ,6, , , , ,136, , ,16, , ,업무수행,1,12, , ,21, , ,376.035,0.0,376.035
423,694,2,2,2,3,일본, ,1,9,9, , ,2,6, , , ,혼자,1,개별여행,3,3,3,3,3,4,4,3,3,2,3,3,3,3,3,3,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,136, , ,16,1, ,업무수행,1,1, , ,5, , ,872.448,545.28,327.168
769,1020,1,4,2,2,일본, ,50,12,3,7, ,1,6, , , ,혼자,1,개별여행,2,4,5,5,5,5,5,3,3,3,5,5,5,5,5,5,1, , , , , , , , , , , , , , , ,16, , ,1, , , , , , ,8, , ,128, , ,16,5, ,온천/스파,1,3,5, ,9,12, ,723.3142258,0.0,723.3142258
828,1003,2,1,2,4,일본,9,1,10,3, , ,1,1,4,2,15,혼자,1,개별여행,2,4,3,3,3,5,4,4,3,3,4,4,3,4,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,6,5, ,2,5,1,식도락,1,4,7, ,5,10, ,175.46,0.0,175.46
914,1056,1,4,2,2,일본, ,30,4,9, , ,1,6, , , ,혼자,1,개별여행,1,4,3,3,9,4,3,4,4,3,3,4,3,3,5,4,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,11,136, ,16,15, ,업무수행, ,1, , ,10, , ,143.712,0.0,143.712
998,1064,1,2,2,4,일본, ,3,9,3,2, ,2,5, , , ,혼자,1,개별여행,5,5,4,4,5,5,4,5,4,3,3,3,4,5,5,5,1, ,8, , , , , , , , , , , , , ,16, , ,1, ,3, , , , ,8, , ,30,6,1,1,2,17,고궁/역사유적지방문,1,4,9, ,7, , ,745.216,363.52,381.696
1126,5,1,4,1,7,일본, ,2,11,2,4, ,3,1,10,3, ,혼자,1,개별여행,3,5,5,5,5,5,5,4,4,5,4,5,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,2,4,1,20,17,고궁/역사유적지방문,1,9, , ,10, , ,368.466,0.0,368.466
1187,1034,1,5,2,2,일본, ,300,3,9, , ,1,6, , , ,혼자,1,개별여행,3,3,3,3,3,3,9,3,3,3,3,3,3,3,5,3,1,4, , , , , , , , , , , , , , , , , ,1,2, , , , , , , , ,20,136, ,16,15, ,업무수행,1,12, , ,21, , ,393.525,218.625,174.9
1191,464,2,1,2,3,일본, ,3,4,3, , ,3,1, , , ,혼자,1,개별여행,2,4,4,4,4,4,9,4,5,5,4,5,4,4,5,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,4,5, ,18,2, ,식도락,1,12, , ,21, , ,179.64,0.0,179.64
1199,303,2,1,2,9,일본,3,1,5,2, , ,2,5, , , ,가족/친지,2,개별여행,3,4,5,4,5,5,5,4,5,4,3,5,3,4,3,4,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,1, , ,1,17, ,기타,4,9, , ,4,5,10,267.3,133.65,133.65
1250,1035,1,5,2,3,일본, ,40,9,3,4,5,1,6, , , ,혼자,1,개별여행,3,5,5,5,4,5,5,5,4,5,4,5,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,8,20, ,16,1, ,업무수행,3,3,5,9,8,10,16,272.64,136.32,136.32
1689,86,2,4,1,6,일본, ,1,1,1,3,5,1,5, , , ,혼자,1,개별여행,5,4,5,5,5,5,5,5,5,5,5,5,4,5,4,4,1, , , , , , , , , ,3, , , , , , , , ,1, , , , ,6, , , , ,11,13, ,1,2,4,쇼핑,4,4, , ,4,15, ,812.2355158,0.0,812.2355158
1957,476,2,1,2,4,일본, ,1,1,3,1,4,1,1,1,9,4,친구/연인,3,개별여행,3,4,4,4,4,3,3,4,4,3,4,3,3,3,3,3, , , , , , , , , , , , , , , , ,16, , , , , , , , , ,8, , ,125,130,133,18,2,1,자연경관감상,1,2, , ,8,10, ,37.36283373,0.0,37.36283373
1958,478,2,1,3,5,일본, ,3,1,1,4,3,1,1,3,1,2,가족/친지,5,개별여행,3,5,3,4,4,4,3,5,3,5,3,5,4,5,5,5,1, , , , , , , , , , , , , , , ,16, , ,1, , , , , , ,8, , ,125,126,127,17,18,20,고궁/역사유적지방문,1,1,2,5,2,10, ,8122.354346,4061.177173,4061.177173
1959,479,1,1,2,8,일본, ,1,1,3,1,4,1,1,1,9,4,혼자,1,개별여행,3,4,4,5,5,5,3,4,3,4,4,5,5,5,5,5, , , , , , , , , , , , , , , , ,16, , , , , , , , , ,8, , ,125,133,130,18,1,2,자연경관감상,1,2, , ,3,8,10,536.0754404,268.0377202,268.0377202
1960,480,2,3,2,3,일본, ,1,1,3, , ,1,1,8,4,1,친구/연인,2,단체여행,3,4,3,3,3,3,3,5,3,4,4,4,4,4,4,4, , , , , , , , , , , , , , , , ,16, , , , , , , , , ,8, , ,125, , ,1,5,18,자연경관감상,1,2, , ,4, , ,979.8,553.8,426.0
1961,481,1,1,2,5,일본,5,2,1,2,3,7,1,4,16,4,2,혼자,1,에어텔여행,3,3,3,2,4,5,9,3,4,4,3,4,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,8,5,6,2,4, ,식도락,1,12, , ,21, , ,485.64,0.0,485.64
1962,482,1,1,1,1,일본, ,2,1,3,2,5,4,1,4,2,15,친구/연인,3,에어텔여행,3,4,4,4,5,5,4,3,3,4,4,4,4,4,3,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,8, ,1,3,5,온천/스파,1,2,7,10,5, , ,408.96,255.6,153.36
1963,483,1,1,2,4,일본, ,5,1,5,3,1,2,4,7,2,4,친구/연인,2,에어텔여행,3,5,3,4,3,5,5,4,4,4,4,4,3,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,8,5,9,1,2,5,쇼핑,1,7, , ,4, , ,775.32,0.0,775.32
1964,484,1,5,2,7,일본, ,30,1,9, , ,1,5, , , ,혼자,1,개별여행,3,3,3,3,3,3,9,3,3,3,3,3,3,3,4,3,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,19, , ,2, , ,식도락,1,12, , ,21, , ,340.8,0.0,340.8
1965,485,1,4,2,3,일본, ,2,1,2, , ,1,6, , , ,직장동료,2,개별여행,5,5,5,5,5,5,4,4,4,4,4,4,5,5,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5, , ,15, , ,미팅/회의/학술대회/박람회참가,1,9, , ,4, , ,316.7718512,194.9365238,121.8353274
1966,486,1,2,2,6,일본, ,10,1,6, , ,2,6, , , ,혼자,1,개별여행,3,5,3,4,4,4,9,3,2,4,4,4,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,8, , ,15, , ,미팅/회의/학술대회/박람회참가,1,12, , ,21, , ,150.2635704,0.0,150.2635704
1967,487,1,2,2,4,일본, ,1,1,2, , ,2,1,6,4,2,친구/연인,2,개별여행,5,5,4,4,4,5,9,4,4,3,4,4,4,5,4,5, , ,8, , , , , , , , , , , , , , , , , , ,3, , , , , , , ,32, , ,2,15, ,식도락,2,12, , ,21, , ,85.2,85.2,0.0
1968,488,1,1,1,3,일본, ,2,1,2,1,3,3,5, , , ,혼자,1,개별여행,3,4,4,5,5,4,4,4,4,4,4,4,3,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,8,5, ,2,18, ,식도락,1,5,7, ,4,10, ,374.88,0.0,374.88
1969,489,1,4,1,3,일본, ,30,1,9, , ,1,4,8,7,16,친구/연인,2,에어텔여행,3,4,3,3,3,3,4,3,3,3,3,3,3,3,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,136, , ,1,2, ,식도락,1,5,7,10,1,10, ,596.4,298.2,298.2
1970,490,1,3,1,7,일본, ,1,1,8,2, ,2,7, , , ,혼자,1,개별여행,3,4,3,3,4,3,3,3,3,4,4,5,4,5,3,4,1,4, , , , , , , , , , , , , , , , , ,1,2, , , , , , , , ,5,6, ,15,1,7,미팅/회의/학술대회/박람회참가,1,4,7, ,5,10,12,374.88,119.28,255.6
1971,491,1,4,3,3,일본, ,3,1,3,2, ,3,6, , , ,혼자,1,개별여행,3,4,4,4,4,4,3,3,3,3,3,4,3,4,3,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,11, , ,16,15,14,연수/교육/연구,1,1, , ,10, , ,374.88,0.0,374.88
1972,492,1,3,2,7,일본, ,100,1,9, , ,1,6, , , ,혼자,1,개별여행,3,3,5,5,5,5,5,3,3,3,5,5,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,8,6, ,16, , ,업무수행,1,4,5, ,4,6, ,233.448,0.0,233.448
1973,493,1,5,3,3,일본, ,2,1,3, , ,3,1,3,4,2,가족/친지,2,에어텔여행,3,4,3,3,5,4,3,3,3,3,3,3,4,3,3,3,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,6,8,17,2,1,식도락,1,2,7, ,10, , ,511.2,0.0,511.2
1974,494,1,2,3,6,일본, ,5,1,3, , ,1,6, , , ,혼자,1,개별여행,4,4,4,4,4,4,4,3,3,2,3,3,3,4,4,4,1, , , , , , , , , , , , , ,12, , , , ,1, , , , , ,7, , , ,108,136, ,16,15,14,연수/교육/연구,1,10, , ,10,11,15,639.0,298.2,340.8
1975,495,1,3,1,7,일본, ,7,1,3, , ,1,1,6,4, ,친구/연인,2,에어텔여행,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,8,6,3,2,7, ,식도락,1,5,7,8,4,10,18,1806.24,954.24,852.0
1976,496,1,5,2,3,일본, ,30,1,9, , ,1,6, , , ,직장동료,3,개별여행,5,3,3,3,3,4,3,4,4,3,3,4,3,3,2,4,1, , , , , ,11, , , , , , , , , , , , ,1, , , ,5, , , , , ,69, , ,16,15, ,미팅/회의/학술대회/박람회참가,1,1, , ,10, , ,426.0,0.0,426.0
