,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
28,566,1,1,2,8,중국, ,1,4,3,5,2,1,1,11,10,12,가족/친지,2,개별여행,5,4,4,3,4,3,4,3,3,3,3,4,3,4,3,3,1,4, , , , , , , , , , , , , , , , , ,1,2, , , , , , , , ,12,4,8,1,14,21,쇼핑,1,2,5,7,3,5,7,2910.0,1746.0,1164.0
32,24,2,1,3,8,중국,1,1,2,3, , ,5,5, , , ,가족/친지,2,개별여행,5,4,4,5,4,3,4,4,3,3,3,5,3,3,3,3,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,10,1,5,2,1,17,식도락,1,1,2,7,4,5,10,773.82,716.5,57.32
35,771,1,4,3,10,중국, ,3,6,1,3, ,2,1,4,2,16,가족/친지,2,개별여행,2,4,5,4,3,4,4,3,4,4,4,5,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,8, ,1,2, ,식도락,1,3,5, ,4, , ,177.72,0.0,177.72
39,178,1,1,2,6,중국, ,1,6,1,2,7,2,1,2,4,9,가족/친지,2,개별여행,4,4,4,4,5,4,4,4,4,4,4,4,3,3,3,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,2,5,8,1,2,18,쇼핑,1,1,5,7,3,5,7,5183.5,2962.0,2221.5
52,436,2,1,2,7,중국, ,2,3,3, , ,1,4,7,13,2,친구/연인,2,개별여행,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,20,14, ,1,2,7,쇼핑,1,1,3,7,3,5,7,1395.84,1017.8,378.04
58,2025,2,1,2,7,중국,1,16,2,3,2, ,1,4,2,4,1,친구/연인,2,개별여행,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4, , , , , , , , , , , , , , , , ,16, , , , , , , , , ,8, , ,125,128, ,1,2,4,쇼핑,1,1,2,3,4,5,10,14330.0,14330.0,0.0
59,834,2,2,2,4,중국, ,7,3,3,2, ,1,1,4,9,7,친구/연인,2,개별여행,5,4,4,4,4,5,5,3,4,4,4,4,4,4,4,3,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,13,8,1,2,17,식도락,1,2,5,7,5,9,15,2908.0,2181.0,727.0
63,734,2,1,2,2,중국, ,10,7,3,4,2,1,4,2,13,1,혼자,1,개별여행,10,4,4,4,3,2,3,2,3,3,3,4,5,3,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,19,9,5,1,2,7,쇼핑,1,2,5,7,3,5,6,1840.0,1177.6,662.4
81,1042,2,1,2,2,중국,1,1,11,1, , ,1,2,15,2,14,혼자,1,개별여행,10,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,20, ,1,2,6,의료관광,3,1,2, ,5, , ,11574.45,11574.45,0.0
118,1476,1,2,2,7,중국, ,4,10,1,3,2,1,4,1,3,8,가족/친지,2,개별여행,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4, , , , , , , , , , , , , , , , ,16, , , , , , , , , ,8, , ,133,135,125,1,2,4,쇼핑,3,2,10, ,4,5,6,4387.7,4387.7,0.0
120,1469,2,1,2,5,중국, ,3,10,3,2,1,1,1,2,7,15,친구/연인,2,개별여행,3,4,5,4,4,4,4,3,5,3,3,5,4,4,4,4, , , , , , , , , , , , , , , , ,16, , , , , , , , , ,8, , ,129,125,133,1,3,9,쇼핑,1,3,9, ,5,6,7,4539.0,4387.7,151.3
123,491,2,0,2,8,중국, ,1,7,5,3,4,6,7, , , ,혼자,1,개별여행,14,3,3,2,3,4,2,3,4,2,3,4,4,3,3,3,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,9,2,14,14,1,20,박물관/전시관방문,5,5,6, ,4,9,14,264.96,44.16,220.8
155,708,2,1,2,8,중국, ,1,8,3,4,2,3,7, , , ,친구/연인,3,개별여행,10,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,1, , , , , , , , , , , ,2, , , ,16, , ,1, , , , ,6, ,8, , ,130,98,6,15,18,1,자연경관감상,1,11, , ,5,10, ,78.76427603,0.0,78.76427603
181,489,1,1,2,8,중국, ,1,7,2,3,4,2,6, , , ,친구/연인,2,개별여행,6,3,5,5,5,3,4,3,5,4,4,5,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,20,136,2,1,14,20,박물관/전시관방문,7,6,7,9,4,5, ,1324.8,1030.4,294.4
216,569,1,2,3,4,중국, ,2,7,3,2, ,1,6, , , ,직장동료,2,개별여행,2,4,5,4,4,4,5,3,4,3,3,4,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,13, , ,16,15,2,쇼핑,1,1, , ,5, , ,412.16,412.16,0.0
261,728,2,1,1,3,중국,9,1,7,3,5,6,1,1,2,6,7,가족/친지,3,개별여행,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,8,12,1,5,7,의료관광,1,1,5,7,5,9,10,1913.6,1472.0,441.6
289,572,1,1,2,3,중국, ,1,4,2,3,4,1,1,1,2,4,친구/연인,2,개별여행,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,4,9,5,2,7,1,식도락,1,1,3,5,9,11,13,1758.149,879.0745104,879.0745104
316,652,2,1,2,8,중국, ,8,6,3,2,4,2,7, , , ,혼자,1,개별여행,120,4,4,3,3,4,4,4,3,4,3,3,4,3,4,3,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,8,5,2,14,2,1,쇼핑,8,7,10, ,5,10, ,3153.3859,2803.009732,350.3762165
471,823,1,1,2,7,중국, ,2,3,2,4,3,1,6, , , ,친구/연인,3,개별여행,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,13,14,1,2,18,쇼핑,1,2,5,7,1,4,5,2181.0,1454.0,727.0
483,1704,2,1,3,9,중국,1,1,4,3, , ,2,1,1,4,8,친구/연인,2,개별여행,4,4,4,5,4,3,3,3,4,4,4,4,3,4,4,3, , , , , , , , , ,15, , ,2, , , , , , , , , , , ,6, , , , ,100,99,83,2,1,18,식도락,2,1,9, ,6,10,15,747.2133,0.0,747.2133338
504,1704,1,0,2,8,중국, ,4,6,3,1,2,3,1,2,1,4,가족/친지,3,개별여행,4,5,5,5,4,4,4,5,5,5,4,4,4,5,4,4, , , , , , , , , ,15, , ,2, , , , , , , , , , , ,6, , , , ,96,79,80,1,18,21,시티투어버스이용,1,1,3,9,4,7,10,788.3465,0.0,788.346487
512,1703,1,1,2,8,중국,1,1,7,3,2,6,3,1,1,9,11,친구/연인,2,개별여행,4,4,4,4,4,5,3,3,3,4,4,4,3,4,4,4, , , , , , , , , ,15, , ,2, , , , , , , , , , , ,6, , , , ,79,102,100,17,18,2,고궁/역사유적지방문,2,1,9, ,4,10,15,794.88,0.0,794.88
524,1705,2,1,2,3,중국, ,2,8,4,3,2,2,1,11,6,7,친구/연인,2,개별여행,4,5,5,4,4,5,5,5,5,4,4,4,5,4,4,4, , , , , , , , , , , , ,2, , , ,16, , , , , , , ,6, ,8, , ,124,96,99,7,1,18,유흥.오락,2,9, , ,4,7,18,848.9038638,568.8531046,280.0507592
