,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
21,57,1,4,2,1,중동, ,3,12,9, , ,1,6, , , ,직장동료,2,개별여행,3,5,5,5,5,2,9,3,4,3,4,5,3,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,7, , ,16, , ,업무수행,1,12, , ,21, , ,400.0,400.0,0.0
30,486,1,3,3,2,중동, ,2,5,2,7, ,3,6, , , ,혼자,1,개별여행,3,4,5,5,5,3,3,4,4,3,3,5,4,4,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,20, , ,16, , ,업무수행,1,1, , ,5, , ,1308.96,545.4,763.56
37,665,1,1,1,7,중동, ,2,5,3,5, ,1,6, , , ,혼자,1,개별여행,29,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,1,4, , , , , , , , , , , , , , , , , ,1,2, , , , , , , , ,21,25,8,16,1,4,업무수행,1,5,10,1,4,12,16,6100.0,0.0,6100.0
82,888,1,0,2,8,중동, ,1,12,3,2,4,4,7, , , ,친구/연인,2,개별여행,120,4,5,5,4,4,5,4,4,2,4,5,5,5,5,5,1, , , ,6, , , , , , , , , , , , , , ,1, , , ,5, , , , , ,14,5,9,14,1,7,유흥.오락,1,3,7,10,5,6,11,1808.285564,904.1427822,904.1427822
114,683,1,1,3,2,중동,1,7,7,2,7,3,4,1,1,2,3,가족/친지,3,개별여행,4,5,5,3,5,2,5,5,5,2,3,5,4,4,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,3,4,5,1,9,21,쇼핑,1,5,7,8,4,9, ,820.0,440.0,380.0
145,995,1,2,3,4,중동, ,1,1,2, , ,2,6, , , ,혼자,1,개별여행,45,5,5,5,5,5,5,5,5,3,5,5,4,5,5,5,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,30,29,31,17,16,10,쇼핑,1,3,9,10,4,5,16,4186.8,3140.1,1046.7
160,400,1,2,2,2,중동, ,1,2,3,2,7,2,6, , , ,가족/친지,4,개별여행,4,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,1, , , , , , , ,14, , , , ,5, , , , , ,1, , , , ,6,7, , , ,2,1,7,17,2,16,고궁/역사유적지방문,1,11, , ,5,15, ,950.0,0.0,950.0
186,475,1,3,2,1,중동, ,1,10,2, , ,4,6, , , ,혼자,1,개별여행,8,4,5,5,5,4,2,5,5,2,2,5,4,4,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,20,1,7,15,20,16,박물관/전시관방문,1,10, , ,8,10, ,2000.0,1000.0,1000.0
200,130,2,2,3,4,중동,4,1,6,3,7, ,3,1,1,11,15,가족/친지,2,개별여행,6,5,4,5,4,4,5,5,5,3,3,4,4,4,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,4,5,3,18,1,22,자연경관감상,1,4,5,7,5,8,18,1279.34,0.0,1279.34
210,810,1,1,3,2,중동, ,1,8,3,5, ,6,6, , , ,혼자,1,개별여행,7,4,3,4,4,4,9,5,4,4,4,4,3,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,12,13,5,16,2,18,업무수행,1,12, , ,21, , ,670.0,0.0,670.0
219,1046,1,2,2,5,중동, ,2,1,2, , ,4,6, , , ,혼자,1,개별여행,3,5,5,5,5,5,5,5,5,4,3,5,5,5,5,5, ,4, , , , ,11, , , , , , , , , , , , , ,2, , ,5, , , , , ,136,24, ,16,1, ,업무수행,1,1, , ,3, , ,300.0,300.0,0.0
222,422,1,2,3,2,중동, ,1,3,5,3,2,4,6, , , ,가족/친지,2,개별여행,2,4,5,5,5,5,3,3,3,4,3,5,4,5,5,5, , ,8, , , , , , , , , , , , , , , , , , ,3, , , , , , , ,37,33, ,16,1, ,업무수행,1,1, , ,5, , ,1288.084361,1116.339779,171.7445815
223,275,1,3,2,12,중동, ,1,7,3,2,5,12,1,3,11,2,친구/연인,3,개별여행,4,5,5,4,5,4,5,5,5,4,5,5,5,5,5,5,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,6,30,5,1,22,18,쇼핑,1,4,9, ,4,5,9,530.0,200.0,330.0
226,407,2,1,2,8,중동, ,1,4,2,3,5,1,1,13,11,12,가족/친지,3,개별여행,11,5,3,5,5,2,5,5,3,1,3,5,4,5,4,5,1,4, , , , , , , , , , , , , , , , , ,1,2, , , , , , , , ,14,5,4,20,1,5,쇼핑,2,7,11, ,4,5,16,2800.0,900.0,1900.0
231,481,2,1,2,8,중동, ,2,6,3,4,2,12,7, , , ,혼자,1,개별여행,271,5,4,5,4,5,5,5,5,1,3,5,5,5,4,5,1, ,8,9, , , , ,14, , ,7, , , , , , , ,1, ,3,4, ,6, , , , ,5,9,95,14,1,7,연수/교육/연구,1,5,7,10,3,4,5,14500.0,14500.0,0.0
235,708,1,0,2,8,중동, ,6,6,3,7,4,8,7, , , ,혼자,1,개별여행,181,3,4,5,3,2,3,2,3,1,3,5,3,3,1,2,1, , , , , , , , , , ,7,2, , , , , , ,1, , , , ,6, , , , ,5,96,1,10,14,1,스포츠활동,4,3,6,10,4,5, ,8759.4054,8759.405412,0.0
236,902,2,3,2,2,중동, ,10,7,3, , ,1,6, , , ,가족/친지,2,개별여행,5,5,5,4,5,5,5,4,5,4,4,5,3,5,5,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,8, ,16,3,1,온천/스파,1,3,5, ,1,5,16,1900.0,1500.0,400.0
245,743,1,1,1,6,중동, ,10,1,9, , ,2,6, , , ,혼자,1,개별여행,10,4,4,5,4,4,4,4,5,4,4,5,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,7,9,16,16,1,21,업무수행,1,10, , ,5,7, ,1200.0,800.0,400.0
250,133,2,1,2,9,중동, ,1,2,3,2, ,2,4,3,2,5,친구/연인,2,개별여행,10,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,8,9,136,19,18,15,공연/민속행사/축제참가관람,1,5, , ,5,9,11,2500.0,2500.0,0.0
276,129,1,1,2,8,중동,1,3,6,2, , ,30,7, , , ,혼자,1,개별여행,122,5,5,5,5,3,5,5,5,4,3,5,3,5,5,5,1,4, , , , , , , , , , , , , , , , , ,1,2, , , , , , , , ,9,3,20,7,17,1,고궁/역사유적지방문,5,3,5,7,3,4,7,3503.7622,1751.881082,1751.881082
305,76,1,1,2,8,중동, ,1,10,3,4,5,9,7, , , ,가족/친지,3,개별여행,61,4,5,5,5,5,5,5,5,3,2,5,4,5,5,5,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,9,98,2,1,11,14,레포츠활동,1,2,7, ,4,11,12,1100.0,1000.0,100.0
348,938,1,1,4,1,중동, ,1,1,2,3,5,2,1,2,1,7,가족/친지,2,개별여행,6,4,4,4,4,3,5,5,4,2,5,5,4,4,4,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,10,5,3,9,18,4,테마파크,1,7, , ,5,6, ,2132.8,0.0,2132.8
361,481,1,4,2,2,중동, ,2,5,2, , ,4,6, , , ,혼자,1,개별여행,3,5,5,5,5,3,5,5,5,3,5,5,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,7,19,20,15,16, ,미팅/회의/학술대회/박람회참가,1,3,11, ,3,4, ,1250.0,1250.0,0.0
362,550,1,0,3,5,중동, ,1,5,3,2, ,4,6, , , ,직장동료,5,개별여행,5,5,4,5,5,5,5,4,4,4,4,5,5,5,5,5,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,4,5, ,21,16, ,시티투어버스이용,5,1,7,10,1,3,5,270.0,0.0,270.0
369,78,1,1,2,7,중동, ,1,7,3,2,5,1,1,5,11,8,가족/친지,6,개별여행,7,4,5,5,3,5,4,4,5,3,4,5,5,4,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,9,12,17,19,17,1,쇼핑,1,2,3,7,4,5,6,2600.0,800.0,1800.0
379,625,1,2,2,2,중동, ,3,10,2,3,8,2,6, , , ,혼자,1,개별여행,61,5,4,4,4,5,4,4,4,4,3,4,4,4,5,5,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,1,3,28,15,20,9,테마파크,1,3,6,9,3,4,10,21000.0,20000.0,1000.0
387,368,1,2,3,2,중동, ,6,11,2, , ,1,6, , , ,혼자,1,개별여행,3,5,4,5,3,5,9,5,5,4,5,5,5,5,5,5, , , , , , , , , , , ,7, , , , , , , , , , , , ,6, , , , ,95, , ,16,2, ,업무수행,1,12, , ,21, , ,1200.0,1200.0,0.0
428,96,1,4,2,1,중동, ,3,11,2,1, ,2,6, , , ,혼자,1,개별여행,5,5,5,5,5,3,5,5,5,5,5,5,4,4,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,136,9, ,16, , ,업무수행,1,1, , ,10,18, ,930.0,0.0,930.0
429,129,1,3,2,5,중동, ,2,11,2,3, ,7,6, , , ,혼자,1,개별여행,3,4,4,5,5,5,9,4,5,4,5,4,4,5,4,4, , ,8, , , , , , , , , , , , , , , , , , ,3, , , , , , , ,44, , ,16, , ,업무수행,1,12, , ,21, , ,420.0,400.0,20.0
438,1040,1,3,2,1,중동, ,1,1,2, , ,3,6, , , ,직장동료,12,개별여행,2,5,5,5,5,4,4,5,5,4,5,5,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5, , ,16,15,17,미팅/회의/학술대회/박람회참가,1,7, , ,4,10, ,395.0,295.0,100.0
449,1409,1,3,1,4,중동, ,1,1,2,7,8,1,1,3,4,1,혼자,1,개별여행,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1, , , , , , , ,14, , , ,2, , , , , , ,1, , , , ,6, , , , ,3,72, ,20,19,2,식도락,2,5,7,8,3,4,8,162.4471032,0.0,162.4471032
452,401,1,3,2,2,중동, ,2,2,2, , ,3,6, , , ,혼자,1,개별여행,3,5,5,4,5,3,5,4,4,4,5,5,4,4,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,7, , ,16,15,1,업무수행,1,1, , ,3,19, ,1800.0,1500.0,300.0
510,347,2,2,2,12,중동,1,1,7,3,7,8,6,1,3,2,16,가족/친지,3,개별여행,7,4,5,4,5,3,5,5,5,4,5,5,5,5,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,8,2,4,20,17,1,박물관/전시관방문,1,5,7,9,4,6, ,960.0,700.0,260.0
517,1855,1,1,2,3,중동,2,1,7,3,5,4,6,1,1,3,11,친구/연인,2,개별여행,5,4,5,5,5,5,5,4,4,4,4,5,4,4,4,4,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,1,3,17,21,17,18,고궁/역사유적지방문,2,4,8,9,1,4,6,850.0,350.0,500.0
610,830,1,2,3,7,중동, ,1,5,9, , ,1,2,14,11,16,가족/친지,2,개별여행,22,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,5,11,6,1,18,쇼핑,1,4,7,9,4,5,16,30000.0,15000.0,15000.0
634,145,2,0,2,8,중동, ,1,12,3,4,5,6,7, , , ,혼자,1,개별여행,7,4,4,5,4,3,4,4,4,2,4,4,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,9,14,20,3,18,14,자연경관감상,1,6,11, ,5,9,10,600.0,400.0,200.0
706,314,1,1,2,3,중동,9,2,5,4,3,2,6,1,11,16,1,가족/친지,2,개별여행,6,5,4,5,5,5,5,4,5,4,4,5,5,5,3,5,1,4, ,9, , , , , , , , , , , , , , , ,1,2, ,4, , , , , , ,46,1,24,18,11,17,고궁/역사유적지방문,1,2,5,8,5, , ,910.0,800.0,110.0
707,324,2,1,3,2,중동, ,4,5,2, , ,5,4,2,1,11,가족/친지,2,개별여행,7,5,4,5,4,4,5,5,5,4,4,5,4,4,3,5,1,4, ,9, , , , , , , , , , , , , , , ,1,2, ,4, , , , , , ,46,8,20,17,18, ,자연경관감상,2,2,5,8,4,5, ,1230.0,1200.0,30.0
748,171,1,3,2,7,중동, ,10,3,3, , ,3,6, , , ,가족/친지,2,개별여행,6,5,5,5,5,5,5,5,5,5,5,5,4,4,5,3,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,9,8,5,16,1,17,고궁/역사유적지방문,1,7, , ,18, , ,1350.0,1300.0,50.0
751,388,1,1,2,8,중동,2,1,9,4,3, ,10,1,1,3,4,혼자,1,개별여행,30,5,5,5,5,3,4,5,5,3,4,5,4,5,5,5,1, ,8,9, , , , ,14,15, , ,2, ,12,13, , , ,1, ,3,4, ,6,7, , , ,121,72,81,18,17,20,자연경관감상,2,8,9, ,4,9,17,1008.0,84.0,924.0
758,624,2,1,2,9,중동, ,6,4,8, , ,8,2,4, , ,혼자,1,개별여행,3,3,4,4,3,3,4,4,3,3,3,3,3,4,3,4,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,136,8, ,6,1, ,의료관광,1,5,9, ,10, , ,1110.0,0.0,1110.0
760,672,2,2,2,9,중동, ,1,4,3,8, ,1,2,14,6,8,가족/친지,3,개별여행,10,5,5,5,5,5,5,5,5,5,5,5,4,5,3,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,8,9,5,6,1, ,의료관광,1,7, , ,10, , ,7800.0,7300.0,500.0
763,676,1,2,2,2,중동, ,3,6,2,7,5,1,1,3,8,1,혼자,1,개별여행,3,5,5,5,5,4,5,5,5,3,4,5,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,2,9,6,13,2,1,고궁/역사유적지방문,1,9, , ,3,9,12,1500.0,1000.0,500.0
766,729,1,1,1,8,중동, ,3,8,2,3,4,3,5, , , ,혼자,1,개별여행,85,4,5,5,4,3,5,5,4,4,3,5,4,4,3,3,1,4, , , , , , , , , , , ,5, , , , , ,1,2, , , , ,7, , , ,105,1,2,17,7,1,고궁/역사유적지방문,4,4,5,10,3,4,16,2200.0,1700.0,500.0
