,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
46,709,2,0,2,8,캐나다, ,1,5,3,2,7,1,1,10,8,11,혼자,1,개별여행,8,5,5,5,4,5,4,5,5,5,3,5,4,4,3,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,14,5,9,20,7,18,박물관/전시관방문,1,6,7,8,4,10,16,218.91,145.94,72.97
53,664,1,1,2,4,캐나다,6,1,8,3,4,8,3,1,7,9,6,혼자,1,개별여행,11,5,5,5,4,4,4,3,5,5,5,4,4,5,4,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,15,2,6,7,12,20,유흥.오락,2,3,4,9,6,9, ,218.7896556,87.51586225,131.2737934
55,304,1,5,2,6,캐나다,2,1,4,2, , ,4,5, , , ,혼자,1,개별여행,6,5,5,5,5,4,4,5,4,4,4,5,3,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,12,2,1,18,17,22,고궁/역사유적지방문,4,4,9, ,4,6,17,562.05,449.64,112.41
68,913,1,1,2,8,캐나다,3,1,5,3,2, ,4,1,16,9,3,친구/연인,3,개별여행,5,5,5,5,4,5,3,4,3,2,3,5,3,4,3,4,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,30,7,20,17,18,1,고궁/역사유적지방문,2,11, , ,4,11, ,372.147,372.147,0.0
85,474,1,3,3,2,캐나다, ,2,4,2,3, ,3,6, , , ,혼자,1,개별여행,3,5,5,5,5,5,4,4,4,4,4,5,4,4,5,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,4, ,2,15,1,식도락,1,7, , ,20, , ,1562.0,1562.0,0.0
95,558,2,1,2,12,캐나다, ,1,5,3,2,5,6,1,1,3,4,친구/연인,2,개별여행,3,4,5,4,3,5,4,4,4,5,4,5,4,3,3,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,1, ,1,17, ,고궁/역사유적지방문,1,7, , ,4,17, ,197.019,109.455,87.564
101,1034,1,3,2,1,캐나다, ,1,6,4,3, ,6,1,16,10,3,가족/친지,2,개별여행,12,5,4,5,4,3,4,4,4,4,5,4,4,5,2,5,1, , , , , , , ,14, , , ,2, , , , , , ,1, , , , ,6, , , , ,72,9,96,17,18,1,고궁/역사유적지방문,1,3, , ,4,14, ,1147.4821,875.9405412,271.5415678
135,196,1,1,1, ,캐나다, ,1,5,3, , ,2,1,3,4,9,혼자,1,개별여행,29,4,4,5,3,5,4,5,3,3,3,5,4,4,5,5,1,4, , , , , , , , , , , , , , , , , ,1,2, , , , , , , , ,1,5, ,10,18,1,스포츠활동,2,7, , ,9,10, ,608.2778,260.6904822,347.5873096
142,1040,2,1,2,8,캐나다,5,1,11,3, , ,1,1,7,2,3,혼자,1,개별여행,4,5,4,4,4,5,4,4,4,4,4,4,4,4,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,8,14,1,22,5,1,전통문화체험,2,3,5,9,5,6,14,1045.0,500.0,545.0
144,708,2,0,2,8,캐나다,2,1,5,3,2, ,6,1,1,6,4,혼자,1,개별여행,10,5,5,5,5,5,5,5,5,4,4,5,4,5,5,5,1, , , , , , , , , , , , , , , ,16, , ,1, , , , , , ,8, , ,129,124,125,18,17,1,자연경관감상,2,4,5,6,4,10, ,600.0,0.0,600.0
148,1246,2,4,2,5,캐나다, ,3,1,2,4, ,4,6, , , ,직장동료,21,개별여행,23,5,5,5,5,5,9,5,5,4,4,5,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,2,3,8,16,17,18,박물관/전시관방문,5,12, , ,21, , ,594.88,0.0,594.88
162,193,1,1,2,11,캐나다, ,2,5,2,3,5,1,1,6,3,4,가족/친지,5,개별여행,4,4,4,4,3,5,2,5,5,4,4,4,5,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,8,9, ,1,18,22,쇼핑,1,1,5,6,18, , ,481.602,364.85,116.752
164,918,1,3,1,2,캐나다, ,2,7,2, , ,4,5, , , ,혼자,1,개별여행,3,4,5,5,5,5,4,4,4,4,4,5,3,3,5,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,136,9,1,23, ,기타,4,9, , ,5, , ,316.3447645,0.0,316.3447645
165,414,2,1,1,4,캐나다,2,1,8,3,7,2,1,1,16,12,9,가족/친지,2,개별여행,2,3,5,5,5,3,9,4,5,5,5,5,3,3,4,3,1,4, , , , , , , , , , , , , , , , , ,1,2, , , , , , , , ,24,1, ,2, , ,식도락,1,12, , ,21, , ,80.05,40.025,40.025
178,454,2,1,2,7,캐나다, ,1,6,2,3, ,5,5, , , ,혼자,1,개별여행,20,5,5,5,5,5,5,5,5,3,5,5,4,5,5,5,1, , , , , , , , , , , ,2, , , ,16, , ,1, , , , ,6, ,8, , ,125,14,96,11,17,19,레포츠활동,1,3,7,9,10,11,18,1111.2,0.0,1111.2
191,1329,2,0,4,8,캐나다, ,1,1,3,2,8,7,1,2,4,6,혼자,1,개별여행,4,5,5,5,5,4,5,5,5,3,4,5,4,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,6,14,1,7,18,고궁/역사유적지방문,2,3,7,9,3,4,5,645.4448,0.0,645.4448
203,130,2,2,2,3,캐나다, ,1,7,2, , ,1,1,16, , ,가족/친지,2,개별여행,3,4,5,5,5,5,5,5,5,5,5,4,4,4,2,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,14, , ,1,17,20,박물관/전시관방문,2,9, , ,4, , ,170.99717,0.0,170.99717
205,619,2,3,2,3,캐나다, ,2,7,1,3,2,6,1,12,9,16,가족/친지,5,개별여행,1,3,4,5,9,5,5,5,5,3,3,4,3,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,8,2,1,21, , ,시티투어버스이용, ,9, , ,16, , ,84.799,0.0,84.799
215,708,2,1,3,4,캐나다, ,1,12,3,5,2,6,1,4,3,13,친구/연인,2,개별여행,15,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,1, , , ,6, , , , , , , ,2, , , , , , ,1, , , ,5,6, , , , ,96,16,4,22,7,17,전통문화체험,2,3,7,8,4,10,14,1592.235,776.7,815.535
221,700,2,0,2,8,캐나다, ,1,2,2,3,4,12,6, , , ,직장동료,2,개별여행,14,5,5,5,5,5,4,5,5,4,4,4,4,5,5,5,1, , ,9, , , , , , , , , , , , , , , ,1, , ,4, , , , , , ,49,51,8,12,21,3,직업적스포츠홀동,1,1,5,9,4,10,11,407.3803745,0.0,407.3803745
260,220,2,1,2,8,캐나다, ,2,7,3,5,2,20,7, , , ,혼자,1,개별여행,180,4,4,4,3,3,4,3,4,4,3,4,4,3,5,4,1, , , , , , , , , , , , , , , ,16, , ,1, , , , , , ,8, , ,127,131, ,1,17,19,쇼핑,5,5,8,9,4,5,14,6090.11,0.0,6090.11
275,329,2,1,3,5,캐나다, ,3,5,3,2, ,6,6, , , ,가족/친지,2,개별여행,27,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,14,13,4,1,17,7,쇼핑,2,5,7,10,4, , ,2335.04,2335.04,0.0
286,195,2,2,3,9,캐나다, ,1,3,2,4,3,2,5, , , ,친구/연인,2,개별여행,22,5,5,5,5,5,5,5,5,3,4,5,4,5,4,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,6,1,17,22,1,2,쇼핑,4,4,5,8,2,4,6,299.16,149.58,149.58
295,398,2,0,2,8,캐나다, ,1,7,6,2,3,5,1,13,3,4,혼자,1,개별여행,18,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,99,7,2,20,19,1,공연/민속행사/축제참가관람,2,3,7,9,5,13,14,1449.292,370.032,1079.26
296,768,2,3,2,7,캐나다, ,2,7,3,4,5,1,2,14,15,3,혼자,1,개별여행,8,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,8,7,4,6,7,20,의료관광,1,3,7,9,1,4,11,598.490095,170.99717,427.492925
325,648,1,5,2,10,캐나다,5,1,11,3, , ,7,1,9, , ,가족/친지,2,개별여행,5,4,5,5,5,3,9,4,4,4,4,5,5,5,3,4,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,30,4,8,11,17,20,고궁/역사유적지방문,1,12, , ,21, , ,669.892729,669.892729,0.0
327,670,2,1,3,7,캐나다,1,1,11,3,2,4,6,1,4,12,16,가족/친지,2,개별여행,5,5,5,5,5,5,5,5,4,3,3,5,4,4,3,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,20,7,5,18,1,9,쇼핑,2,1,3,7,4,5, ,705.1502411,0.0,705.1502411
331,723,2,4,2,3,캐나다, ,3,12,3,4, ,8,1,2,4,16,가족/친지,4,개별여행,4,4,5,5,5,5,5,4,5,4,4,5,5,5,4,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,20,14,1,17,20,쇼핑,1,7,9, ,4,5, ,1553.4,0.0,1553.4
346,406,2,1,2,8,캐나다, ,1,9,2,3,5,2,1,1,3,7,친구/연인,2,개별여행,10,5,4,4,4,5,5,5,5,5,5,5,4,4,3,5,1,4, , , , , , , , , , , , , , , , , ,1,2, , , , , , , , ,6,1,4,1,17,20,쇼핑,4,4,7,8,4,15,18,350.846417,0.0,350.846417
349,1325,2,0,3,8,캐나다,1,1,1,8,3,5,6,6, , , ,혼자,1,개별여행,4,4,5,4,4,5,5,5,4,4,4,4,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,4,5,12,1,5,17,쇼핑,1,7,9, ,5,4, ,446.16,0.0,446.16
363,559,2,1,2,3,캐나다,6,1,5,3,2,5,2,1,2,9,4,친구/연인,2,개별여행,8,3,4,4,4,3,5,4,3,2,3,5,4,3,2,3,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,96,14,5,1,17,5,고궁/역사유적지방문,1,7,9, ,3,4,5,1240.49,510.79,729.7
381,665,2,5,2,7,캐나다, ,4,10,5,3, ,6,1,2,4,10,친구/연인,3,에어텔여행,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,136,4,17,17,2,1,고궁/역사유적지방문,1,1, , ,4,8,10,1397.88,232.98,1164.9
384,156,2,5,2,7,캐나다,5,1,11,3,2,7,6,1,3,2,4,가족/친지,2,에어텔여행,4,5,5,5,5,4,5,4,4,4,4,4,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,16,17,1,17,18,고궁/역사유적지방문,1,4,7,9,1,2,4,1296.922,1164.9,132.022
399,712,1,3,3,2,캐나다, ,1,12,3,2,5,3,1,7,4,13,가족/친지,6,개별여행,6,5,4,4,4,5,4,5,4,4,4,4,4,4,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,5,8,1,17,18,쇼핑,2,1,5,7,4,13, ,893.205,310.68,582.525
