,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
87,532,2,1,2,3,태국,1,1,12,3,2,5,10,1,1,2,8,직장동료,18,개별여행,5,4,4,4,5,5,5,3,3,3,4,4,5,5,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,14,20,3,1,2,18,쇼핑,2,1,7,9,3,4,5,542.4856693,180.8285564,361.6571129
122,814,1,3,3,1,태국, ,2,5,3,2, ,5,5, , , ,혼자,1,개별여행,6,4,4,5,5,4,4,5,4,3,3,5,4,4,5,5,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,8,4,101,1,17,18,쇼핑,4,3,4, ,4,9,14,493.0,493.0,0.0
156,403,2,1,2,4,태국, ,1,9,2,4,5,2,1,1,3,11,친구/연인,2,개별여행,21,5,2,4,5,3,4,5,4,3,3,5,3,4,4,3,1, ,8,9, , , , , , , , , , , , ,16, , ,1, ,3,4, , , ,8, , ,28,48,126,9,11,17,테마파크,4,5,6,7,3,4,6,1315.674064,0.0,1315.674064
217,751,2,2,2,3,태국, ,4,8,3,2,4,1,1,3,2,7,혼자,1,개별여행,5,5,4,4,4,5,5,4,3,3,3,4,4,4,5,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,2,14,5,20,1,17,박물관/전시관방문,2,1,7,11,4,6,11,1035.0,435.0,600.0
238,1202,2,2,2,12,태국, ,2,3,2, , ,6,8, , , ,가족/친지,4,개별여행,1,4,4,4,9,4,4,4,4,4,4,4,4,4,5,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,3, ,17,1, ,고궁/역사유적지방문, ,9, , ,10, , ,51.52337444,0.0,51.52337444
259,840,2,1,2,2,태국, ,2,6,2,3,1,1,4,2,12,4,가족/친지,3,개별여행,5,4,3,4,4,4,4,5,5,3,3,5,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,5,8,1,9,22,식도락,1,10, , ,5, , ,875.9405,0.0,875.9405412
314,600,1,1,2,3,태국, ,5,3,1,3,4,1,1,2,7,12,가족/친지,11,단체여행,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,12,8,5,1,9,2,쇼핑,1,7,9, ,2,5,11,964.964,0.0,964.964
318,145,2,1,2,7,태국, ,1,7,3,2,6,1,1,2,4,7,혼자,1,개별여행,5,5,5,5,5,4,5,5,5,4,4,5,5,5,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,7,16,17,1,17,21,식도락,1,1,5,7,3,5,7,3175.2,0.0,3175.2
321,730,2,2,2,1,태국,5,1,10,3,4,2,8,1,8,2,4,가족/친지,2,개별여행,4,4,2,4,4,4,4,4,4,3,3,4,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,14,1,5,18,1,7,자연경관감상,2,9, , ,4,14,15,664.4,90.6,573.8
342,847,1,3,1,1,태국, ,1,7,3, , ,2,1,1,3, ,가족/친지,4,개별여행,23,4,1,5,4,5,5,5,3,3,3,5,4,4,5,5,1,4, , , ,10, , , , , , , , , , , , , ,1,2, , ,5, , , , , ,5,59,22,2,1,17,쇼핑,2,9,10, ,8,9,10,2058.0,1176.0,882.0
404,1598,2,2,1,12,태국,2,4,1,9, , ,4,1,16,1,10,기타,31,단체여행,4,3,4,4,5,2,4,4,3,3,4,4,4,4,2,2, , , , , , , , , , , , ,2, , , , , , , , , , , ,6, , , , ,99,97, ,1,22,2,전통문화체험,1,1,10, ,4,5,6,203.058879,0.0,203.058879
468,786,2,1,2,1,태국,3,3,3,3,2,8,10,1,13,7,2,혼자,1,개별여행,8,5,4,5,4,3,4,5,3,3,4,5,4,5,5,5,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,5,28,1,1,17,4,쇼핑,3,3,7,10,4,5,10,2500.0,500.0,2000.0
475,1895,1,2,2,3,태국, ,3,3,3,4,5,6,1,1,16,12,친구/연인,7,개별여행,4,4,4,4,5,5,5,4,4,3,4,4,3,4,4,4,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,96,98,101,1,4,18,자연경관감상,1,1,9, ,10,15,17,901.6590527,85.87229073,815.7867619
476,1896,1,3,2,2,태국, ,1,3,3,2,1,12,1,1,4,2,친구/연인,3,개별여행,3,4,4,4,5,4,4,4,4,4,5,4,4,4,4,4, , , , , , , , , , , , ,2, , , , , , , , , , , ,6, , , , ,99,96,97,4,1,18,자연경관감상,1,9, , ,5,6,10,972.4,572.0,400.4
477,84,1,2,2,3,태국, ,1,4,2,3, ,1,6, , , ,직장동료,2,개별여행,4,5,4,4,4,4,3,3,3,2,3,4,3,5,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,8,10,2,14,21,연수/교육/연구,1,9, , ,1,17, ,10185.0,5820.0,4365.0
480,822,1,2,2,1,태국, ,1,4,1,2,4,1,1,1,3,5,가족/친지,24,단체여행,5,4,4,4,4,4,4,5,5,2,3,5,3,4,3,4,1,4,8,9, , , , ,14, , , , , , , , , , ,1,2,3,4, ,6, , , , ,5,28,1,9,6,17,테마파크,1,1,2,7,4,10, ,1888.59,1452.09,436.5
