,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
2,524,1,1,3,8,프랑스, ,1,6,3,4,2,4,7, , , ,혼자,1,개별여행,21,4,5,5,4,5,3,3,4,4,4,5,3,4,3,3,1, , , , , , , , , ,3, ,2, , , , , , ,1, , , , ,6, , , , ,96,4,89,7,1,22,전통문화체험,3,6,7,8,9,10,11,560.65,0.0,560.65
12,567,2,1,2,8,프랑스, ,1,12,6,3,2,12,7, , , ,친구/연인,2,개별여행,121,4,3,4,4,2,5,5,5,4,3,5,3,4,3,4,1, , , , , , , , , , , ,2, , , ,16, , ,1, , , , ,6, ,8, , ,14,5,9,1,17,20,쇼핑,1,7,8,11,3,4,5,6776.73,4755.6,2021.13
24,859,1,2,3,3,프랑스, ,10,4,3,4,2,22,5, , , ,혼자,1,개별여행,18,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,1, , , , , , , , , , , ,2, , ,13,16, , ,1, , , , ,6,7,8, , ,134,133,114,18,17,3,자연경관감상,4,1,10, ,3,4,16,1705.28,1278.96,426.32
90,662,1,2,3,5,프랑스, ,1,3,3,2,6,2,1,3,1,6,친구/연인,2,개별여행,6,5,4,5,4,5,5,5,4,5,5,5,4,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,16,17,20,18,7,박물관/전시관방문,2,7,8,10,4,9,11,767.887,294.532,473.355
94,440,2,1,3,2,프랑스, ,2,5,3,2,5,1,6, , , ,직장동료,3,개별여행,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,19,5,7,16,10,1,스포츠활동,1,7, , ,4,5, ,1254.42,872.64,381.78
106,711,1,2,2,11,프랑스, ,1,3,3,2,5,5,1,1,10,11,혼자,1,개별여행,20,4,5,4,4,3,4,4,5,3,3,5,4,4,3,4,1, , ,9, , , , ,14, , , ,2, , , ,16, , ,1, , ,4, ,6, ,8, , ,46,124,1,18,17,11,자연경관감상,2,3,6,7,18, , ,1420.065,0.0,1420.065
107,1024,1,2,3,2,프랑스, ,1,7,3,2, ,2,6, , , ,직장동료,2,개별여행,4,4,4,3,4,4,4,2,3,3,3,4,3,3,4,3,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,20, , ,16,15, ,업무수행,1,1,10, ,9,10,18,607.0399535,393.293491,213.7464625
108,1025,1,2,3,2,프랑스, ,2,7,3,2,7,3,6, , , ,직장동료,2,개별여행,4,4,4,2,5,4,4,2,3,4,3,5,3,4,5,3,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,20, , ,16,15, ,식도락,1,1,9,10,10, , ,649.789246,478.792076,170.99717
140,1036,1,2,3,3,프랑스, ,5,11,1,5,2,1,6, , , ,직장동료,4,개별여행,3,4,4,3,5,5,4,4,4,5,4,4,4,4,4,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,9, ,15,2,1,식도락,1,3,7, ,5,10, ,1410.300482,0.0,1410.300482
174,864,1,1,2,11,프랑스, ,1,4,2,3, ,3,5, , , ,혼자,1,개별여행,6,5,4,4,5,5,5,4,3,3,4,5,5,5,5,5,1,4, , , , , , , , , , , , , , , , , ,1,2, , , , , , , , ,12,20,1,7,2,22,유흥.오락,7,3,9, ,3,4,11,340.0,140.0,200.0
