,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
22,211,2,1,2,1,필리핀, ,3,4,3,1,6,10,1,13,6,3,직장동료,2,개별여행,5,4,5,5,5,4,4,5,4,4,4,5,4,5,5,5,1,4, , , , , , , , , , , , , , , , , ,1,2, , , , , , , , ,4,10,2,17,20,19,유흥.오락,1,7,8, ,5,10,19,358.2,0.0,358.2
67,291,1,2,2,2,필리핀, ,1,11,1, , ,6,1,1,3,8,가족/친지,3,개별여행,5,5,4,5,5,4,4,5,5,4,4,5,5,5,4,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,10,1,2,9,1, ,테마파크,4,6,7, ,4, , ,176.2875603,0.0,176.2875603
137,513,1,1,2,7,필리핀, ,2,10,5,3,2,6,1,1,3,5,가족/친지,2,개별여행,5,4,3,4,4,4,4,5,3,2,3,4,3,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,14,7,5,18,2,17,자연경관감상,2,3,7,9,4,19, ,485.0,0.0,485.0
373,877,1,1,2,8,필리핀, ,1,7,3,2,5,24,1,13,4,11,친구/연인,2,개별여행,4,5,5,5,4,4,5,5,5,1,2,5,5,4,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,15,1,2,20,17,1,고궁/역사유적지방문,1,7, , ,5,19, ,760.0,0.0,760.0
443,1227,2,5,2,5,필리핀, ,5,1,3,6,4,6,1,8,1,2,친구/연인,2,개별여행,7,4,4,4,3,4,4,5,5,3,4,4,4,4,4,5,1, , ,9, , , , , , , , , , , , , , , ,1, , ,4, , , , , , ,51,49,1,18,17,1,자연경관감상,1,7,8,10,4,10, ,771.62374,0.0,771.62374
460,348,2,2,2,6,필리핀, ,1,3,3,2,4,6,1,4,8,2,친구/연인,2,개별여행,9,4,4,4,4,4,4,4,4,3,4,4,5,5,5,5,1, , ,9, , , , , , , , , , , , , , , ,1, , ,4, , , , , , ,50,16,10,22,17,1,고궁/역사유적지방문,7,2,7,10,5, , ,815.7867619,343.4891629,472.297599
488,53,2,1,2,12,필리핀, ,1,5,3,6,7,3,1,11,7,13,친구/연인,3,개별여행,2,5,4,4,4,5,4,5,4,4,3,5,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,3,2,21,17,20,고궁/역사유적지방문,1,1,8, ,18, , ,73.6885,60.82777918,12.86073045
494,1792,2,1,2,7,필리핀, ,2,5,2,3,4,3,3,12,7,1,혼자,1,개별여행,4,5,4,4,5,5,4,4,4,3,4,3,4,4,5,4,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,99,96,1,21,5,1,시티투어버스이용,1,3,9, ,4,5,6,950.0,600.0,350.0
514,1793,1,2,2,5,필리핀, ,1,7,4,3,2,3,6, , , ,직장동료,2,개별여행,3,5,4,4,4,5,5,4,3,3,4,4,4,5,5,5, , , , , , , , , , , , ,2, , , , , , , , , , , ,6, , , , ,96,104, ,16,15,1,미팅/회의/학술대회/박람회참가,1,1,3,9,5,6,10,669.8,394.0,275.8
560,1211,1,1,1,7,필리핀, ,1,11,3,2,1,2,1,1,3,2,친구/연인,2,개별여행,5,5,4,4,5,5,5,5,4,4,4,5,4,4,4,5,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,10,96,5,18,17,7,자연경관감상,2,4,9, ,1,5,6,916.6953134,599.3777049,317.3176085
587,1249,2,3,2,2,필리핀, ,2,1,3, , ,2,6, , , ,가족/친지,2,개별여행,6,4,5,5,4,4,4,4,4,3,3,4,4,4,5,5,1, , , , , , , , , ,3, , , , , , , , ,1, , , , ,6, , , , ,136,6, ,16,1,7,유흥.오락,1,9, , ,2,4,5,545.4,282.8,262.6
598,349,2,1,3,8,필리핀, ,1,3,5,3,2,10,1,7,13,4,친구/연인,8,개별여행,12,5,5,5,5,5,4,5,4,5,4,5,5,5,4,5,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,8,18,28,1,7,9,쇼핑,2,5,7,11,4,6,19,1300.0,300.0,1000.0
649,289,1,4,2,5,필리핀, ,15,11,1,7,4,1,6, , , ,가족/친지,2,개별여행,6,5,5,5,4,5,4,5,4,2,3,5,4,5,5,5,1, ,8, , , ,11, , , , , , , , , , , , ,1, ,3, ,5, , , , , ,1,64,36,2,18,17,고궁/역사유적지방문,1,1,4,7,3,4,16,960.7672035,617.0064609,343.7607425
673,814,2,1,2,11,필리핀, ,1,8,1,2,3,1,1,3,1,11,직장동료,31,단체여행,4,4,4,4,4,3,3,5,4,4,3,5,4,4,4,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,4,5,16,4,2,7,쇼핑,1,2,5,7,4,5,10,792.0,396.0,396.0
679,89,1,2,2,5,필리핀,9,4,11,3,5,4,3,1,9,3,1,가족/친지,2,개별여행,10,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,1, , , , , , , , , ,3, ,2, , , , , , ,1, , , , ,6, , , , ,102,1,88,18,21,1,자연경관감상,1,1,3,7,4,5,10,3800.0,1800.0,2000.0
753,272,1,3,2,4,필리핀, ,1,3,2,3,5,6,1,3,5,2,친구/연인,2,개별여행,4,5,5,4,3,4,4,4,4,3,4,4,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,7,20,4,17,9,1,고궁/역사유적지방문,1,1,7,10,4,5,10,1150.0,350.0,800.0
757,533,1,2,2,5,필리핀, ,3,4,3,2, ,12,6, , , ,혼자,1,개별여행,3,4,3,3,5,4,5,4,3,2,3,5,3,5,4,4,1,4, , , , , , ,14, ,3, ,2, , , , , , ,1,2, , , ,6, , , , ,5,24,96,16,15,7,자연경관감상,2,1,2,3,3,4,7,1010.9357,0.0,1010.935687
759,636,1,1,3,5,필리핀, ,1,4,3,4,7,3,1,3,4,1,친구/연인,2,개별여행,9,5,5,5,5,5,4,5,5,3,4,5,3,5,5,5,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,20,8,4,18,20,9,자연경관감상,2,3,7, ,8, , ,615.3522,0.0,615.3521572
790,530,1,1,2,5,필리핀, ,3,12,2,3,6,12,5, , , ,혼자,1,개별여행,11,5,5,5,5,5,4,5,4,3,4,4,4,4,5,5, , , , , , , , , , , , , , , , ,16, , , , , , , , , ,8, , ,126,128,125,18,17,20,자연경관감상,4,3,9, ,5,18, ,500.0,0.0,500.0
