,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
5,722,2,1,3,12,호주, ,2,2,4,2,3,12,1,1,3,4,친구/연인,2,개별여행,37,5,3,5,4,4,4,5,3,3,3,5,5,5,4,5,1, , ,9, , , , ,14, ,3, ,2,5, , ,16, , ,1, , ,4, ,6,7,8, , ,125,14,46,18,11,3,레포츠활동,2,4,5,6,4,10,12,1112.745,0.0,1112.745
16,424,1,2,3,2,호주,2,1,9,3,5,2,6,1,3,1,9,친구/연인,2,개별여행,5,5,4,5,5,4,3,4,5,3,3,5,3,5,4,5,1,4, , , , , , , , , , , , , , , , , ,1,2, , , , , , , , ,1,2,16,17,20,22,고궁/역사유적지방문,1,3,7,9,3,11,18,638.0,159.5,478.5
23,839,2,2,3,7,호주, ,1,4,3,7,8,4,1,3,1,4,가족/친지,2,개별여행,25,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,1,4,8, , , , , , , , , , , , , , , , ,1,2,3, , , , , , , ,1,30,2,17,20,18,고궁/역사유적지방문,2,1,3,10,3,4,9,1422.509,0.0,1422.509
29,608,1,1,2,2,호주, ,1,7,3,2,4,11,6, , , ,혼자,1,개별여행,171,4,4,5,4,4,4,4,3,3,4,5,3,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,9,1,6,16,7,17,유흥.오락,1,1,3,10,16, , ,28433.92,22980.0,5453.92
47,505,2,1,2,11,호주, ,1,8,3,2,5,1,1,13,4,6,혼자,1,개별여행,9,5,5,5,5,5,4,4,4,4,4,4,4,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,14,12,19,1,17,공연/민속행사/축제참가관람,1,7,9, ,4,10,19,1218.339,1059.079,159.26
49,439,1,1,1,8,호주, ,1,6,3,2,4,4,5, , , ,혼자,1,개별여행,9,4,3,5,3,5,4,5,5,3,3,5,4,4,4,4,1, , , , , , , , , , , , ,5, ,13, , , ,1, , , , , ,7, , , ,19,107,118,17,18,7,자연경관감상,2,6,9, ,4,11,12,394.1732,0.0,394.1732435
54,819,1,5,2,7,호주,3,1,7,6,3,5,4,1,1,3,12,가족/친지,2,개별여행,4,4,5,5,5,4,4,4,4,3,4,4,3,4,3,4,1,4, , , , , , , , , , , , , , , , , ,1,2, , , , , , , , ,1,2,21,18,17,20,고궁/역사유적지방문,1,3,1,10,18, , ,674.08,520.88,153.2
56,609,1,4,3,5,호주, ,20,7,4,3,2,1,5, , , ,혼자,1,개별여행,5,4,5,5,4,3,4,3,4,4,4,5,3,3,5,4, , ,8, , , ,11, , , , , , , , , , , , , , ,3, ,5, , , , , ,36,136, ,16,2, ,식도락,3,10, , ,15, , ,170.99717,0.0,170.99717
77,295,1,4,3,1,호주, ,1,7,3, , ,2,1,3,2,4,친구/연인,2,개별여행,3,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,11,13,7,17,1,유흥.오락,1,3,9, ,4, , ,1378.8,1378.8,0.0
79,377,1,1,2,6,호주,1,2,4,3, , ,6,4,2,3,4,가족/친지,3,개별여행,5,4,5,4,4,3,4,4,4,4,3,4,3,4,3,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,20,8,1,1,17,7,쇼핑,1,5,6,7,4,9, ,589.5425,304.28,285.2625
105,758,2,1,2,8,호주,2,1,2,4,2,3,5,1,2,7,4,혼자,1,개별여행,5,5,5,5,4,4,4,5,3,1,5,5,5,5,3,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,6,136,1,2,17,식도락,1,3,7, ,5, , ,899.6316602,322.5094631,577.1221971
117,139,2,1,1,8,호주, ,3,2,3,2,4,8,7, , , ,친구/연인,2,개별여행,14,4,4,4,5,5,5,4,3,3,4,4,5,4,5,3,1, , , , , , , , , , , ,2, , , ,16, , ,1, , , , ,6, ,8, , ,125,10,5,7,18,3,유흥.오락,1,7,9,11,3,4,6,1328.115,0.0,1328.115
121,1857,1,2,2,17,호주, ,2,3,3,6,4,2,1,1,3,4,친구/연인,2,개별여행,10,4,5,5,4,4,4,4,5,3,4,5,4,4,5,5,1, , , , , , , , , ,3, ,2, ,12, ,16, , ,1, , , , ,6,7,8, , ,125,130,2,18,17,20,자연경관감상,2,9,10, ,4,10, ,703.2940611,398.447429,304.8466321
