,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
7,514,2,1,2,4,홍콩,1,4,3,3,4,5,1,1,2,16,4,가족/친지,2,개별여행,4,5,5,4,4,3,4,5,5,4,4,4,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,14,8,1,17,20,쇼핑,1,2,3,7,4,5, ,869.4,96.6,772.8
72,1432,2,3,3,3,홍콩, ,2,10,3,1,5,6,1,1,2,13,친구/연인,5,개별여행,4,4,4,4,4,3,4,4,3,3,3,4,4,4,4,4,1, , , , , , , , , , , , , , , ,16, , ,1, , , , , , ,8, , ,131,134,125,1,20,4,휴양/휴식,2,1,5,7,7,14,18,833.3,384.6,448.7
116,840,2,1,2,8,홍콩, ,2,5,3,4,2,1,1,13,16,4,친구/연인,2,개별여행,7,4,3,3,4,4,3,3,4,2,3,4,4,4,4,4,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,10,17,1,19,1,3,공연/민속행사/축제참가관람,7,4,5,7,4,5,19,771.0,385.5,385.5
320,871,2,2,2,4,홍콩, ,10,9,3,2,5,1,1,16,8, ,혼자,1,개별여행,10,4,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,4, , , , , , , , , , , , , , , , , ,1,2, , , , , , , , ,22,17,21,1,11,18,쇼핑,4,3,7,9,3,5,10,7.01692834,0.0,7.01692834
403,1098,1,3,2,5,홍콩, ,1,1,3, , ,3,1,10,3,6,가족/친지,3,개별여행,4,4,3,4,4,4,4,3,3,4,4,4,3,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,4,5,19,20,17,공연/민속행사/축제참가관람,1,2,9, ,4,6,17,812.2355158,0.0,812.2355158
489,70,2,3,2,7,홍콩, ,6,5,3,4, ,1,1,4,2,1,가족/친지,2,개별여행,4,4,4,4,4,4,4,3,3,3,4,4,3,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,8, ,1,2, ,식도락,1,3,7,9,3,4, ,1374.95,205.6,1169.35
496,1855,1,4,1,4,홍콩, ,1,5,2,3, ,2,5, , , ,가족/친지,2,개별여행,5,5,5,5,4,4,5,5,5,4,4,5,4,5,4,5, , , , , , , , ,14, , , ,2, , , , , , , , , , , ,6, , , , ,72,99,96,17,8,2,고궁/역사유적지방문,4,1,9,10,7,10,13,1233.6,591.1,642.5
508,1865,2,3,2,4,홍콩, ,2,6,2,4,3,4,1,1,12,16,친구/연인,2,개별여행,4,4,4,4,4,5,4,5,4,4,5,4,4,5,4,4,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,8,14,96,21,2,17,시티투어버스이용,2,5,9, ,3,4,6,898.1,384.9,513.2
522,1872,1,2,1,3,홍콩,8,1,7,3,1,4,2,1,16,7,1,친구/연인,2,개별여행,4,5,4,4,5,5,4,4,4,4,5,4,4,5,4,5,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,96,3,13,1,2,21,쇼핑,2,1,5, ,1,5,7,1485.96,896.7,589.26
533,1862,2,2,2,3,홍콩, ,1,8,3,1,5,2,1,9,1,4,친구/연인,2,개별여행,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,96,12,1,1,2,18,쇼핑,1,7,9, ,4,6,7,1139.2,640.0,499.2
546,1854,1,1,2,3,홍콩, ,1,9,3,4,2,1,1,1,3,13,친구/연인,2,개별여행,4,5,4,4,5,5,5,5,3,4,5,5,3,5,4,5,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,1,4,17,17,18,21,고궁/역사유적지방문,2,1,8,9,4,11,12,1309.95,1278.0,31.95
595,655,2,2,1,5,홍콩, ,2,2,3,5,4,1,1,4,8,11,가족/친지,2,개별여행,6,4,4,4,4,5,3,4,4,4,4,4,4,4,5,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,11,5,14,1,3,4,온천/스파,1,7, , ,5,9, ,992.53,0.0,992.53
800,892,2,1,2,12,홍콩,20,1,12,3,2,6,6,1,12,1,9,친구/연인,2,개별여행,9,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,1, ,8,9, , , , , , , , , , , , , , , ,1, ,3,4, , , , , , ,11,12,4,2,18,10,자연경관감상,2,3,9,10,4,10, ,1126.4,0.0,1126.4
823,165,1,5,2,2,홍콩, ,2,9,2,6,7,3,6, , , ,혼자,1,개별여행,3,4,5,5,4,4,4,5,5,4,3,5,3,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,136, , ,16,4,2,업무수행,1,1, , ,8, , ,600.0,300.0,300.0
849,81,1,2,2,7,홍콩,6,4,12,3,7,5,5,1,12,2,16,가족/친지,2,에어텔여행,4,4,4,4,4,4,4,3,3,3,4,4,3,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,14,136,1,7, ,쇼핑,1,3,5,7,3,4,10,1171.2,1024.0,147.2
884,1132,1,1,1,3,홍콩, ,1,11,2,3,5,2,1,1,2,4,가족/친지,11,단체여행,4,4,5,3,4,4,4,4,3,3,4,5,3,4,5,4, , , , , , , , , , , , , , , , ,16, , , , , , , , , ,8, , ,125,127,128,1,11,9,쇼핑,1,2,3,9,5,8,9,1282.0,641.0,641.0
908,534,2,1,2,7,홍콩, ,9,4,3,2,4,3,4,7,1,9,혼자,1,개별여행,4,4,4,4,3,4,5,4,5,4,3,4,3,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,8,14,5,1,2,3,쇼핑,2,5,7, ,4,5, ,2187.9,0.0,2187.9
909,550,1,1,2,7,홍콩, ,20,4,3,5,6,1,7, , , ,혼자,1,개별여행,5,5,4,5,4,3,5,3,5,4,4,4,5,5,5,5,1,4, , , , , , , , , , , , , , ,16, , ,1,2, , , , , ,8, , ,8,6,128,1,4,16,쇼핑,1,1,5,7,4,5,8,1640.0,1640.0,0.0
969,319,1,1,2,1,홍콩, ,1,3,2,3, ,2,1,4,9,2,가족/친지,2,개별여행,4,4,4,3,4,4,3,4,4,3,3,4,4,4,3,3,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,8, ,1,2, ,쇼핑,4,7,9, ,1,4, ,772.8,0.0,772.8
978,546,2,1,2,4,홍콩, ,5,5,3,5,4,1,1,1,2,3,가족/친지,2,단체여행,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,8, , , , , , , ,3, ,2, , , ,16, , ,1,2,3, , ,6, ,8, , ,1,34,127,4,1,17,휴양/휴식,1,3,5,7,3,4, ,1285.0,0.0,1285.0
979,584,1,2,3,2,홍콩, ,8,5,1,3, ,2,6, , , ,혼자,1,개별여행,4,3,1,5,3,4,5,3,3,1,2,5,3,3,4,3,1,4, , , , , , , , , , , , , , , , , ,1,2, , , , , , , , ,7,24,8,1,10, ,쇼핑,1,1,5,7,5,8, ,13000.0,12000.0,1000.0
985,493,2,1,3,8,홍콩, ,1,7,5,3,6,1,7, , , ,혼자,1,개별여행,14,5,3,4,3,4,4,4,5,3,3,5,3,4,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,17,3,12,14,17,1,고궁/역사유적지방문,5,5,7,8,4,5,18,1024.8,0.0,1024.8
986,496,2,0,2,8,홍콩, ,2,7,2,3,5,7,7, , , ,혼자,1,개별여행,15,5,4,4,4,5,5,4,5,4,5,5,3,4,4,5,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,30,18,8,14,20,1,박물관/전시관방문,5,4,7,10,10,13, ,254.3582904,0.0,254.3582904
1003,819,1,1,1,4,홍콩,1,2,11,3,5,6,6,1,4,6,7,친구/연인,5,개별여행,5,4,4,4,3,5,4,4,4,5,4,4,4,4,5,4,1, , ,9, , , , , , , , , , , , , , , ,1, , ,4, , , , , , ,49,5, ,2,7,10,스포츠활동,2,5,7,10,10,15,19,743.56,0.0,743.56
1160,1160,1,1,2,4,홍콩, ,1,1,3,5,2,3,1,8,4,2,친구/연인,2,개별여행,6,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,42,1,2,10,1,3,스포츠활동,1,5, , ,1,4,9,734.73,412.48,322.25
1350,321,2,2,2,5,홍콩, ,5,3,6,4,7,11,4,4,2,8,가족/친지,4,개별여행,6,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,14,8,34,1,9,20,테마파크,2,6,8,10,4,9,10,644.0,0.0,644.0
1356,511,1,2,3,5,홍콩, ,3,3,3,4,2,2,1,1,4,2,가족/친지,3,개별여행,7,5,4,4,4,5,4,4,3,3,4,4,4,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,7,8,1,18,9,자연경관감상,1,5,7, ,4,5, ,1906.24,1391.04,515.2
1358,613,1,2,3,5,홍콩, ,10,3,9, , ,3,6, , , ,혼자,1,개별여행,4,4,4,4,5,4,9,4,4,4,4,4,4,4,5,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,8, , ,16, , ,업무수행,1,12, , ,21, , ,1000.0,1000.0,0.0
1361,714,1,2,2,3,홍콩, ,4,3,3,2,5,6,1,2,1,4,가족/친지,6,개별여행,7,4,4,4,4,5,4,4,4,3,3,4,4,4,4,5,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,5,96,8,1,18,20,쇼핑,1,3,4,5,4,9,10,1803.2,515.2,1288.0
1375,351,2,0,1,8,홍콩,1,2,4,4,2,3,8,1,6,4,2,가족/친지,4,개별여행,5,5,5,4,4,4,5,5,4,3,4,5,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,8,9,6,2,1,18,자연경관감상,1,4,5,10,8,10,15,4504.5,1287.0,3217.5
